,date,Transactions (fees-incurring),other_msg_count,system_count,p2p_count,p2c_count,c2c_count,c2p_count,Active wallet count,cx_address_count,tx_fees_L1,tx_fees_DEX,Fees burned,Transactions (MA7),Transactions (MA30),Fees burned (MA7),Fees burned (MA30),Active wallet count (MA7),Active wallet count (MA30)
44,2024-05-24,13491.0,9919.0,43136.0,1575.0,5258.0,1551.0,5107.0,4618.0,115.0,478.1604206999998,0.0,478.1604206999998,15067.57142857143,14656.466666666667,1261.895292836998,1230.3900326334015,4835.428571428572,4834.566666666667
45,2024-05-25,14372.0,10110.0,43152.0,2389.0,5867.0,1128.0,4988.0,4782.0,113.0,477.3318686249999,0.0,477.3318686249999,15331.142857142857,14588.266666666666,1220.4159361000202,1223.273051275485,4852.428571428572,4832.466666666666
46,2024-05-26,13424.0,9650.0,43146.0,2015.0,5531.0,1109.0,4769.0,4705.0,108.0,464.8187813999998,0.0,464.8187813999998,15352.857142857143,14552.966666666667,1222.0159306553774,1222.1037204442348,4847.142857142857,4828.9
47,2024-05-27,15066.0,10138.0,43134.0,2115.0,6264.0,1586.0,5101.0,4834.0,113.0,481.1926570124998,0.0,481.1926570124998,14916.42857142857,14556.033333333333,1183.5521095175043,1070.6279328148562,4766.285714285715,4829.633333333333
48,2024-05-28,14809.0,11515.0,43151.0,1464.0,6744.0,1460.0,5141.0,5231.0,114.0,475.62323163749977,0.0,475.62323163749977,14677.0,14588.266666666666,1116.0605167687406,974.2483081645058,4817.142857142857,4844.966666666666
49,2024-05-29,16340.0,11285.0,43146.0,2629.0,6658.0,1911.0,5142.0,4855.0,123.0,515.6635560124998,0.0,515.6635560124998,14910.142857142857,14630.5,665.5505936182739,974.750439511173,4834.571428571428,4825.533333333334
50,2024-05-30,16665.0,11526.0,43149.0,2083.0,6868.0,2324.0,5390.0,4706.0,118.0,546.5988999124999,2718.835128559629,3265.434028472129,14881.0,14681.366666666667,879.7463634085182,1065.4556291719105,4818.714285714285,4823.466666666666
51,2024-05-31,15389.0,10368.0,43147.0,2261.0,6366.0,1574.0,5188.0,4814.0,109.0,480.41195994999975,345.1394950763497,825.5514550263495,15152.142857142857,14651.266666666666,929.373654026568,1056.2591578700874,4846.714285714285,4821.9
52,2024-06-01,13129.0,9164.0,43147.0,1931.0,5287.0,1124.0,4787.0,4699.0,115.0,460.6690879249998,0.0,460.6690879249998,14974.57142857143,14613.966666666667,926.993256783711,1022.8878137714096,4834.857142857143,4822.066666666667
53,2024-06-02,13302.0,9346.0,43124.0,1983.0,5547.0,984.0,4788.0,4767.0,110.0,455.2593282374999,0.0,455.2593282374999,14957.142857142857,14563.266666666666,925.6276206176395,1004.4981650337565,4843.714285714285,4820.433333333333
54,2024-06-03,16110.0,11238.0,43154.0,2197.0,7247.0,1558.0,5108.0,5352.0,115.0,481.2806335124999,3064.0697450519656,3545.3503785644652,15106.285714285714,14656.766666666666,1363.364437982206,1107.2845913221552,4917.714285714285,4841.6
55,2024-06-04,14661.0,10199.0,43146.0,2215.0,6248.0,1185.0,5013.0,4771.0,112.0,487.4141047874998,1668.6379024192138,2156.052007206714,15085.142857142857,14723.533333333333,1603.425691634951,1164.234426073629,4852.0,4842.3
56,2024-06-05,14833.0,10256.0,43162.0,2560.0,6038.0,1165.0,5070.0,4788.0,118.0,491.6527463124998,764.0823244930798,1255.7350708055797,14869.857142857143,14704.0,1709.150193748248,1188.0852040892319,4842.428571428572,4844.666666666667
57,2024-06-06,15248.0,10263.0,43145.0,2433.0,6275.0,1406.0,5134.0,4782.0,117.0,472.2435172999998,334.1924541961489,806.4359714961487,14667.42857142857,14756.133333333333,1357.8647570373937,1170.536106918355,4853.285714285715,4842.166666666667
58,2024-06-07,18215.0,11176.0,43138.0,2232.0,7525.0,2820.0,5638.0,4761.0,116.0,529.5170581999998,118.53478273421932,648.0518409342192,15071.142857142857,14855.066666666668,1332.5076693099466,1176.3933298015788,4845.714285714285,4820.966666666666
59,2024-06-08,15604.0,10210.0,43131.0,2116.0,6329.0,1954.0,5205.0,4746.0,106.0,509.8865140749998,504.55423997218895,1014.4407540471888,15424.714285714286,14876.166666666666,1411.6179073274018,1084.3878420500207,4852.428571428572,4818.466666666666
60,2024-06-09,14833.0,9754.0,43148.0,2346.0,5792.0,1552.0,5143.0,4745.0,113.0,258.9276703749998,384.8977232205216,643.8253935955214,15643.42857142857,14884.666666666666,1438.5559166642622,1075.9430952814134,4849.285714285715,4819.033333333334
61,2024-06-10,15754.0,10364.0,43153.0,2199.0,6698.0,1629.0,5228.0,4836.0,116.0,701.6140331874998,1615.044848814854,2316.658882002354,15592.57142857143,14981.966666666667,1263.0285600125321,1131.542008952723,4775.571428571428,4821.433333333333
62,2024-06-11,17586.0,11574.0,43138.0,2079.0,7742.0,2376.0,5389.0,5343.0,116.0,525.4966253124999,400.3275097973528,925.8241351098527,16010.42857142857,15131.333333333334,1087.2817211415518,1126.8462310631655,4857.285714285715,4842.6
63,2024-06-12,18030.0,11385.0,43143.0,2285.0,7667.0,2290.0,5788.0,4792.0,115.0,516.3296903999999,538.2564849960181,1054.586175396018,16467.14285714286,15218.766666666666,1058.5461646544716,1144.3259679899168,4857.857142857143,4839.133333333333
64,2024-06-13,17283.0,10962.0,43135.0,2277.0,7233.0,2240.0,5533.0,4702.0,117.0,501.2613961124998,6060.091431340552,6561.352827453052,16757.85714285714,15315.1,1880.6771440768864,1322.2984806596025,4846.428571428572,4838.433333333333
65,2024-06-14,17830.0,11324.0,43147.0,2555.0,7025.0,2589.0,5661.0,4768.0,114.0,503.3478068624999,777.3167422088009,1280.6645490713008,16702.85714285714,15417.4,1971.0503880964695,1342.2661544379293,4847.428571428572,4838.7
66,2024-06-15,13548.0,9262.0,43157.0,1949.0,5608.0,1065.0,4926.0,4655.0,106.0,468.4635940124999,422.4768687325122,890.9404627450122,16409.14285714286,15417.3,1953.4074893390157,1336.5938665078481,4834.428571428572,4835.333333333333
67,2024-06-16,15298.0,10077.0,43153.0,2115.0,6396.0,1585.0,5202.0,4757.0,108.0,486.9172174249998,660.395853499911,1147.3130709249108,16475.571428571428,15426.733333333334,2025.3343003860714,1350.0680854519933,4836.142857142857,4834.633333333333
68,2024-06-17,19170.0,10586.0,43148.0,2492.0,10489.0,4276.0,1913.0,2359.0,122.0,599.4054032999996,1000.9713888362894,1600.3767921362892,16963.571428571428,15648.166666666666,1923.008287548062,1377.8243996637416,4482.285714285715,4757.833333333333
69,2024-06-18,22933.0,14404.0,43149.0,2874.0,9777.0,4278.0,6004.0,4876.0,121.0,609.0638279874997,878.8311681014311,1487.8949960889308,17727.428571428572,15970.2,2003.3041248307875,1412.3002722162892,4415.571428571428,4762.3
70,2024-06-19,18487.0,11693.0,43146.0,2194.0,7696.0,2846.0,5751.0,4731.0,116.0,579.7079326374998,2986.375058517675,3566.0829911551746,17792.714285714286,15982.4,2362.089384224953,1506.1550584222082,4406.857142857143,4740.0
71,2024-06-20,17500.0,10834.0,43140.0,2251.0,7263.0,2353.0,5633.0,4750.0,122.0,520.4322815999999,2327.4427809408226,2847.8750625408225,17823.714285714286,16016.233333333334,1831.5925606660628,1569.482081144274,4413.714285714285,4735.833333333333
72,2024-06-21,16261.0,10167.0,43148.0,2135.0,6688.0,2025.0,5413.0,4682.0,111.0,508.9502377999998,823.1706339466473,1332.120871746647,17599.571428571428,16068.0,1838.943463905398,1491.5783429336368,4401.428571428572,4734.133333333333
73,2024-06-22,14802.0,9690.0,43155.0,2115.0,6118.0,1511.0,5058.0,4694.0,110.0,478.8544302999998,725.8784855409904,1204.7329158409902,17778.714285714286,15999.1,1883.7709572048236,1472.8673187969887,4407.0,4730.033333333334
74,2024-06-23,15330.0,9779.0,43140.0,2066.0,6091.0,1992.0,5181.0,4650.0,113.0,494.2636127999999,809.7284351517737,1303.9920479517737,17783.285714285714,16060.4,1906.153668208661,1500.3950397053814,4391.714285714285,4731.1
75,2024-06-24,20468.0,12105.0,43150.0,2064.0,9068.0,3396.0,5940.0,5399.0,113.0,560.1793143624998,1052.8085706943675,1612.9878850568673,17968.714285714286,16263.6,1907.9552529116008,1538.2502402531104,4826.0,4751.666666666667
76,2024-06-25,18040.0,11431.0,43139.0,2487.0,7302.0,2535.0,5716.0,4738.0,120.0,541.0959721249998,855.1810114812833,1396.276983606283,17269.714285714286,16417.466666666667,1894.8669654140797,1569.2988469933198,4806.285714285715,4752.766666666666
77,2024-06-26,17338.0,10790.0,43149.0,2102.0,7417.0,2224.0,5595.0,4762.0,116.0,524.4971771999999,1545.972183852442,2070.469361052442,17105.571428571428,16493.2,1681.2078753994033,1622.2747371279845,4810.714285714285,4750.366666666667
78,2024-06-27,17648.0,10934.0,43121.0,2141.0,7222.0,2490.0,5795.0,4666.0,112.0,532.8257847124999,2171.271539633657,2704.0973243461567,17126.714285714286,16587.833333333332,1660.6681985144514,1696.5572068849397,4798.714285714285,4731.533333333334
79,2024-06-28,15572.0,11382.0,43100.0,1493.0,7009.0,1780.0,5290.0,4621.0,110.0,603.9059644374998,645.9939951470587,1249.8999595845585,17028.285714285714,16562.233333333334,1648.9223539198672,1721.031753670675,4790.0,4723.733333333334
80,2024-06-29,17237.0,10422.0,43142.0,2242.0,6998.0,2262.0,5735.0,4658.0,110.0,516.7938688374999,432.5072445765254,949.3011134140253,17376.14285714286,16581.3,1612.4320964303008,1643.8273231687383,4784.857142857143,4722.133333333333
81,2024-06-30,17807.0,10721.0,43144.0,2264.0,7383.0,2476.0,5684.0,4792.0,120.0,545.6479298999998,358.62531566900725,904.273245569007,17730.0,16661.9,1555.32941037562,1646.4513828534934,4805.142857142857,4721.4
82,2024-07-01,16023.0,10647.0,43121.0,2443.0,6594.0,1639.0,5347.0,4728.0,115.0,577.8793422999997,1897.721356560491,2475.6006988604904,17095.0,16758.366666666665,1678.5598123475663,1713.6157698846764,4709.285714285715,4722.366666666667
83,2024-07-02,17514.0,10619.0,43147.0,2191.0,7367.0,2284.0,5672.0,4761.0,112.0,543.4506961124998,636.8179205959459,1180.2686167084457,17019.85714285714,16898.766666666666,1647.7014742193037,1737.7827461670415,4712.571428571428,4722.166666666667
84,2024-07-03,18528.0,10899.0,43107.0,2293.0,7681.0,2786.0,5768.0,4693.0,119.0,558.1110798624998,193.0782738866837,751.1893537491835,17189.85714285714,16979.366666666665,1459.2329017474094,1644.6440453398654,4702.714285714285,4700.2
85,2024-07-04,22729.0,12386.0,43119.0,2450.0,9383.0,4177.0,6719.0,4784.0,124.0,601.7387443624997,2453.598451505037,3055.3371958675366,17915.714285714286,17248.3,1509.4100262504637,1674.620218295226,4719.571428571428,4700.633333333333
86,2024-07-05,30780.0,18472.0,43112.0,2661.0,15053.0,5695.0,7371.0,4824.0,125.0,778.7062672999996,80.3246050652815,859.0308723652811,20088.285714285714,17779.866666666665,1453.5715852191386,1661.3967450138828,4748.571428571428,4701.833333333333
87,2024-07-06,17269.0,10566.0,43131.0,2243.0,7184.0,2199.0,5643.0,4736.0,117.0,527.4708894749998,5049.900811611486,5577.371701086486,20092.85714285714,17847.233333333334,2114.7245263152045,1820.4279360002272,4759.714285714285,4700.3
88,2024-07-07,18063.0,10879.0,43135.0,2367.0,7417.0,2616.0,5663.0,4639.0,116.0,539.3796794999998,0.0,539.3796794999998,20129.428571428572,17842.166666666668,2062.5968740196317,1816.8055306190868,4737.857142857143,4696.233333333334
89,2024-07-08,19617.0,11906.0,43147.0,1752.0,8266.0,3503.0,6096.0,4658.0,117.0,568.5483930749997,1682.241621893569,2250.7900149685684,20642.85714285714,17975.933333333334,2030.4810620350713,1858.0171726497995,4727.857142857143,4693.3
90,2024-07-09,16505.0,10926.0,43138.0,1638.0,7251.0,2119.0,5497.0,4560.0,110.0,524.1787351499997,0.0,524.1787351499997,20498.714285714286,18031.666666666668,1936.7539360981505,1854.0289507016155,4699.142857142857,4687.133333333333
91,2024-07-10,17593.0,11397.0,43140.0,1913.0,7511.0,2599.0,5570.0,4610.0,107.0,529.9173082999998,0.0,529.9173082999998,20365.14285714286,18092.966666666667,1905.1436438911244,1794.4708982448703,4687.285714285715,4679.6
92,2024-07-11,18327.0,11374.0,43156.0,1774.0,7670.0,2893.0,5990.0,4547.0,110.0,549.3472854749998,0.0,549.3472854749998,19736.285714285714,18117.666666666668,1547.145085263619,1781.9216699237084,4653.428571428572,4653.066666666667
93,2024-07-12,16052.0,10467.0,42983.0,1626.0,6873.0,1999.0,5554.0,4617.0,109.0,510.61707346249983,0.0,510.61707346249983,17632.285714285714,18051.733333333334,1497.3716854203647,1763.7893665259244,4623.857142857143,4647.233333333334
94,2024-07-13,12489.0,9136.0,42822.0,1462.0,5254.0,944.0,4829.0,4484.0,109.0,461.8403815249998,0.0,461.8403815249998,16949.428571428572,17891.933333333334,766.581496911581,1560.4722849949894,4587.857142857143,4639.966666666666
95,2024-07-14,14007.0,10031.0,43122.0,1654.0,5945.0,1342.0,5066.0,4584.0,108.0,478.4929991624998,0.0,478.4929991624998,16370.0,17764.5,757.8833997205096,1533.7332333313627,4580.0,4633.833333333333
96,2024-07-15,17910.0,11991.0,43154.0,1793.0,7929.0,2577.0,5611.0,4660.0,114.0,529.3095601624998,9409.37064466896,9938.680204831458,16126.142857142857,17909.9,1856.1534268437795,1835.3245580675773,4580.285714285715,4634.0
97,2024-07-16,19505.0,12144.0,43142.0,1901.0,8301.0,3276.0,6027.0,4658.0,122.0,575.5745499999998,415.19476568335085,990.7693156833507,16554.714285714286,18050.133333333335,1922.80922406283,1830.106432892859,4594.285714285715,4630.7
98,2024-07-17,15710.0,11526.0,43133.0,1318.0,6534.0,2230.0,5628.0,4432.0,119.0,520.5611140124998,1210.0896586958552,1730.650772708355,16285.714285714286,17934.8,2094.3425761211665,1834.4488989119277,4568.857142857143,4699.8
99,2024-07-18,18498.0,12535.0,43146.0,1949.0,8508.0,2312.0,5729.0,5212.0,114.0,535.8701183124997,0.0,535.8701183124997,16310.142857142857,17786.966666666667,2092.4172665265237,1802.71473631938,4663.857142857143,4711.0
100,2024-07-19,15484.0,10478.0,43135.0,1704.0,6661.0,1750.0,5369.0,4595.0,117.0,496.2921869749998,0.0,496.2921869749998,16229.0,17686.866666666665,2090.3708541711667,1700.388376180041,4660.714285714285,4706.466666666666
101,2024-07-20,15406.0,10599.0,43153.0,1733.0,6601.0,1709.0,5363.0,4587.0,106.0,501.0782423499999,0.0,501.0782423499999,16645.714285714286,17617.066666666666,2095.976262860452,1622.1618155070134,4675.428571428572,4701.033333333334
102,2024-07-21,18500.0,11463.0,42979.0,1908.0,7810.0,2865.0,5917.0,4540.0,109.0,552.1735130874998,5736.166288909793,6288.339801997293,17287.571428571428,17691.7,2925.954377551137,1787.3691131820349,4669.142857142857,4696.3
103,2024-07-22,17032.0,11521.0,43135.0,1738.0,7482.0,2246.0,5566.0,4724.0,120.0,566.0103713499998,1333.349832145468,1899.3602034954679,17162.14285714286,17766.033333333333,1777.4800916459953,1810.523356103851,4678.285714285715,4697.3
104,2024-07-23,20723.0,13075.0,43143.0,1902.0,9441.0,3259.0,6121.0,5184.0,115.0,574.9529531249998,0.0,574.9529531249998,17336.14285714286,17945.8,1718.0777541376597,1786.2220529429585,4753.428571428572,4715.1
105,2024-07-24,18793.0,12026.0,43149.0,1708.0,8265.0,2785.0,6035.0,4675.0,115.0,572.0091260749998,4397.434408740024,4969.443534815024,17776.571428571428,17889.966666666667,2180.762434438612,1898.1039079348968,4788.142857142857,4690.966666666666
106,2024-07-25,22914.0,12658.0,43153.0,1884.0,9683.0,4399.0,6948.0,4567.0,116.0,638.8833812999999,992.0355001707794,1630.9188814707793,18407.428571428572,18052.433333333334,2337.197972032652,1905.9253045303803,4696.0,4685.266666666666
107,2024-07-26,17876.0,11568.0,43141.0,1967.0,7442.0,2733.0,5734.0,4669.0,117.0,543.1720830249999,1170.800654367049,1713.9727373920489,18749.14285714286,18070.366666666665,2511.1523363779447,1894.0420837417005,4706.571428571428,4682.166666666667
108,2024-07-27,15975.0,10910.0,43128.0,1968.0,6652.0,2051.0,5304.0,4517.0,106.0,511.6610960624998,1938.3195409846085,2449.9806370471083,18830.428571428572,18014.6,2789.5669641918175,1885.5715274983988,4696.571428571428,4677.2
109,2024-07-28,14660.0,10258.0,42442.0,1524.0,6398.0,1563.0,5175.0,4500.0,111.0,495.3288989249999,0.0,495.3288989249999,18281.85714285714,17984.2,1961.9939780386326,1860.4191588097467,4690.857142857143,4673.166666666667
110,2024-07-29,17782.0,11541.0,43060.0,1660.0,7724.0,2503.0,5895.0,4505.0,108.0,548.0219375874999,529.7168672417756,1077.7388048292755,18389.0,18002.366666666665,1844.619492514891,1864.7004151902552,4659.571428571428,4668.066666666667
111,2024-07-30,18004.0,12279.0,43146.0,1641.0,8422.0,2507.0,5434.0,5193.0,114.0,533.3546731499998,0.0,533.3546731499998,18000.571428571428,18008.933333333334,1838.676881089891,1852.3364627762885,4660.857142857143,4681.433333333333
112,2024-07-31,20839.0,12867.0,42975.0,2071.0,8915.0,3557.0,6296.0,4559.0,118.0,583.9395628124998,729.8480853257643,1313.787648138264,18292.85714285714,18169.466666666667,1316.440325850354,1813.6093610855473,4644.285714285715,4675.8
113,2024-08-01,24199.0,13912.0,43137.0,1915.0,10806.0,4546.0,6932.0,4575.0,113.0,683.7258799874998,6140.536736184848,6824.262616172348,18476.428571428572,18392.3,2058.346573664864,2001.7424944010106,4645.428571428572,4669.6
114,2024-08-02,18541.0,11306.0,43139.0,1710.0,7912.0,3023.0,5896.0,4517.0,115.0,548.2707318749998,1333.0894601538605,1881.3601920288602,18571.428571428572,18392.733333333334,2082.259067184408,2039.414855677,4623.714285714285,4663.733333333334
115,2024-08-03,16562.0,10940.0,43143.0,1825.0,7113.0,2324.0,5300.0,4540.0,112.0,520.8716136124998,1313.3400869558973,1834.2117005683972,18655.285714285714,18187.166666666668,1994.292076258878,1998.710672500362,4627.0,4655.6
