,tx_count,other_msg_count,system_count,p2p_count,p2c_count,c2c_count,c2p_count,hx_address_count,cx_address_count,tx_fees
2023-09-18,17472.0,9668.0,43167.0,2773.0,7026.0,1317.0,6356.0,6437.0,96.0,132.91049571249985
2023-09-19,15694.0,8255.0,43143.0,3087.0,5141.0,1338.0,6128.0,5664.0,101.0,137.2788524874999
2023-09-20,16943.0,8709.0,43120.0,3462.0,5565.0,1680.0,6236.0,5759.0,100.0,151.2483415374999
2023-09-21,16316.0,8260.0,43133.0,3085.0,5362.0,1440.0,6429.0,5640.0,103.0,160.17779562499987
2023-09-22,15820.0,7883.0,43157.0,3427.0,4999.0,1210.0,6184.0,5699.0,97.0,120.05361342499991
2023-09-23,14981.0,7503.0,43161.0,3181.0,4803.0,939.0,6058.0,5590.0,93.0,97.6074944499999
2023-09-24,15246.0,7546.0,43119.0,2870.0,5052.0,1184.0,6140.0,5739.0,99.0,115.80657163749991
2023-09-25,17672.0,9243.0,43161.0,3543.0,6406.0,1358.0,6365.0,6370.0,107.0,150.13408431249985
2023-09-26,9290.0,2865.0,43140.0,2233.0,4642.0,1467.0,948.0,1313.0,88.0,102.9270510624999
2023-09-27,7893.0,2185.0,43166.0,2116.0,4156.0,918.0,703.0,1232.0,89.0,68.10701186249993
2023-09-28,8601.0,2563.0,43130.0,2035.0,4599.0,1102.0,865.0,1331.0,97.0,201.25220403749992
2023-09-29,9107.0,2254.0,43126.0,2939.0,4094.0,1068.0,1006.0,1434.0,93.0,82.47455587499991
2023-09-30,9838.0,3158.0,43162.0,3025.0,4657.0,1151.0,1005.0,1591.0,88.0,88.1437961874999
2023-10-01,15374.0,2900.0,43165.0,5529.0,7085.0,1441.0,1319.0,1855.0,97.0,138.3933744499999
2023-10-02,13453.0,4450.0,43150.0,3824.0,6943.0,1583.0,1103.0,2894.0,102.0,129.56098646249987
2023-10-03,11706.0,3176.0,43155.0,3166.0,5225.0,1940.0,1375.0,1791.0,92.0,153.3753967499999
2023-10-04,10299.0,2612.0,43167.0,2761.0,5347.0,1089.0,1102.0,1829.0,88.0,103.09719139999991
