to,Fees burned,Regular Tx,to_def,Internal Tx,Internal Event (excluding Tx),group
hxa72fc8dbdc3555441055f8226f1406973aa056d9,0.007500000000000001,6,unknown_hx,0,0,unknown_hx
hxd59ecfe22fe6c7eff6e816645b0a62394ae7c8a9,0.007500000000000001,6,unknown_hx,0,0,unknown_hx
hx3c72c692480ee86cef5aa9dcf48fdb3d6dd05e14,0.007500000000000001,6,unknown_hx,0,0,unknown_hx
hx199158a3edab6e143259b364df759596956e6586,0.007500000000000001,6,unknown_hx,0,0,unknown_hx
hx5fd21034a8b54679d636f3bbff328df888f0fe28,0.007500000000000001,6,"binance
sweeper_09",0,0,binance
hx6f116f8f9d1a1a63a6a7b93bdff04d9d2406990b,0.007500000000000001,6,unknown_hx,0,0,unknown_hx
hx10df27f37dc87121eeba97fcfbf2a1b068226f0b,0.007500000000000001,6,unknown_hx,0,0,unknown_hx
hx1a727577686a20eeeb67251b330e026e5597dbf5,0.007500000000000001,6,unknown_hx,0,0,unknown_hx
cx6cdbc291c73faf79366d35b1491b89217fdc6638,0.04857425,6,"ICONbet
 War",20,24,ICONbet
hxd7b5701bf3fdb418ce30f1ca9be845fa5ab1473e,0.007500000000000001,6,unknown_hx,0,0,unknown_hx
cxcb0607db5ac8f931024542e567023ade38c5fbe7,0.014772749999999998,6,BazaarToken,14,0,BazaarToken
hxd7a34c15c2345d9f0891545350181c7b162d9e08,0.007500000000000001,6,bittrex,0,0,bittrex
cx9ee7fbe8c98ca688ec4eb30e392463c1a82d10be,0.0137035,6,ICX IOU Token,10,0,ICX IOU Token
hx378ac0237e7bd5028c060b2c34d37a6bcedd95e7,0.00625,5,unknown_hx,0,0,unknown_hx
hx2846d4f236162eda6dca1135c84b206efb9e2fb3,0.00625,5,unknown_hx,0,0,unknown_hx
hxdf3085265253df6da77e11d640e88220d8b28dd5,0.00625,5,unknown_hx,0,0,unknown_hx
hxc8d6855726d8cbec33eff86f0c18d6221bf54985,0.00625,5,unknown_hx,0,0,unknown_hx
hxe31587979e56fcdaa8e350e177d45f8baa4373ad,0.00625,5,unknown_hx,0,0,unknown_hx
hx7995eb767d9b924cd9880904571c3c4259108fb7,0.00625,5,unknown_hx,0,0,unknown_hx
cx0000000000000000000000000000000000000001,0.011453,5,gov_voting,0,5,gov_voting
hx5ee6f9a5ab011302f5598fc22e69fdf0b79ffaf7,0.00625,5,unknown_hx,0,0,unknown_hx
hx554ae13578ae7cdf618dee6554ff379cf5980c1d,0.00625,5,unknown_hx,0,0,unknown_hx
hxfc110f2096e5200c0296dd2f5efccfd6f7fbfd30,0.00625,5,unknown_hx,0,0,unknown_hx
cx537bd62a5fa6bc90a8d9a309e12fb061700f13c4,0.02002525,5,uMETX,29,0,UP
hx9578470ce076600e71f6696db902cc5a58a5aaee,0.00625,5,unknown_hx,0,0,unknown_hx
hx982e4416048c85f6fcd141c3067d0289e9a9e9a6,0.005,4,unknown_hx,0,0,unknown_hx
hx60a945a58a1b4c33d6eab3239fb71bbf60efc024,0.005,4,unknown_hx,0,0,unknown_hx
hxc0b37fc42b52bf467720cf362c87c650ae3a7915,0.005,4,unknown_hx,0,0,unknown_hx
hxd8fbf5d40853b44b5b8d3aa2b410ed11337eba43,0.005,4,unknown_hx,0,0,unknown_hx
hxdccc15fb9302583a7c3dedeed1e0ab63d4130a90,0.005,4,unknown_hx,0,0,unknown_hx
hx82f364c63e74461eabfd8789b12f41b568241a6f,0.005,4,unknown_hx,0,0,unknown_hx
hx871261db3e2e31a887d1fd32a478d609c53e8db2,0.005,4,unknown_hx,0,0,unknown_hx
hxd18f629ee7bb965cce23b08644e1e2da65a40daf,0.005,4,unknown_hx,0,0,unknown_hx
hx24e1a53ea8f69160be92df9694ebc134aed9e175,0.005,4,unknown_hx,0,0,unknown_hx
cxe7c05b43b3832c04735e7f109409ebcb9c19e664,0.0074675,4,IAM Token,2,0,iAM 
hx9c161bea751836abfcfa4bbe9c0e13c58cff80c5,0.005,4,unknown_hx,0,0,unknown_hx
hx7f746f70171816736dedcf0c075f8c7996301355,0.005,4,unknown_hx,0,0,unknown_hx
hxb4c151de13b54945bd94fb06ed5c0ee349b500e5,0.005,4,unknown_hx,0,0,unknown_hx
hx163112827887d4bfeb09021f46cbb7badbe70060,0.005,4,unknown_hx,0,0,unknown_hx
hx0817b72a02173b4cdb6132a667965d04c2a59a75,0.005,4,unknown_hx,0,0,unknown_hx
hx9f3f5b8dc13f8d873d596f63bba6f83a8540692d,0.005,4,unknown_hx,0,0,unknown_hx
hx421f624fd856517b4478b169c8849d087110ce93,0.005,4,unknown_hx,0,0,unknown_hx
hx8a3de3900fc7103f960a0be2fbd9eeba25fd7fb0,0.005,4,unknown_hx,0,0,unknown_hx
hxf08e9183d5ebe7c5645f3a8fccd1fe2c7b653bb6,0.005,4,unknown_hx,0,0,unknown_hx
hx3efb34034151d8257986ab5a661b77dda48ddd12,0.005,4,unknown_hx,0,0,unknown_hx
hxe042c047bc9a8977ca17c2aefa9fa08f8ce0b4db,0.005,4,unknown_hx,0,0,unknown_hx
cx0c1840514299d1be79543930b9d09d16aaeb9a69,0.01500725,4,SEED,20,0,SEED
hx79c247d8941276b8346eb49a3cb3e2a9f1147476,0.00375,3,unknown_hx,0,0,unknown_hx
hxe071163ab7c5840f09d67dfe8010368eba7b2931,0.00375,3,unknown_hx,0,0,unknown_hx
hxe07433229c09f101a5d155a2c56ed2450699ebac,0.00375,3,unknown_hx,0,0,unknown_hx
hx7e1f5940c2fecf9223e1b4b63a8761c866f25a02,0.00375,3,unknown_hx,0,0,unknown_hx
hxdad926b45b600acfcad4943c76040946d4b7ca64,0.00375,3,unknown_hx,0,0,unknown_hx
hx792bf39913a49c0a020edabf499bb41477703b96,0.00375,3,unknown_hx,0,0,unknown_hx
hx232b80798e571af2093a159973041f0055993a86,0.00375,3,unknown_hx,0,0,unknown_hx
hxe1d4679da9ab85d4aa0afe874bbed0710185f759,0.00375,3,unknown_hx,0,0,unknown_hx
hx7577ebbc92b28795758bf8c8264c6f5bb2c162c2,0.00375,3,unknown_hx,0,0,unknown_hx
hx8200d196492cf7cf659db6b016630228a1888565,0.00375,3,unknown_hx,0,0,unknown_hx
hxdcbbe810b86b0ee9bda1fd07a8184eb4095e40f0,0.00375,3,unknown_hx,0,0,unknown_hx
hx5162ad54e16fa93186d2d62266e96c8a87693811,0.00375,3,unknown_hx,0,0,unknown_hx
hxd3fa725575020d7620c0172145108daa5082e76e,0.00375,3,unknown_hx,0,0,unknown_hx
hx388203f5d3196d8be0ab36c713bad9d1406e31ed,0.00375,3,unknown_hx,0,0,unknown_hx
hx4edb001411c5d2ad2a0315039527e53ebe8895ed,0.00375,3,unknown_hx,0,0,unknown_hx
hxaa458218072c80bb0b6ab5c7a23fe15840f1759b,0.00375,3,unknown_hx,0,0,unknown_hx
hxa23d18a466c12111540b977bd678b45bfe2a2244,0.00375,3,unknown_hx,0,0,unknown_hx
hx9f767d4c7e863f55bc07ea217ee7e6941bfc0ca4,0.00375,3,unknown_hx,0,0,unknown_hx
hx9ed617d49df8fced7765399655b9ad4392362ec3,0.00375,3,unknown_hx,0,0,unknown_hx
hxb3de5f7d9ca99cca37c940fb57aa649dfe4cff09,0.00375,3,unknown_hx,0,0,unknown_hx
hxb5aedf8b4ab456ef0b039e7bc25ce60260deeea5,0.00375,3,unknown_hx,0,0,unknown_hx
hx3cd9d02e0ba1d11a5f70216767945823a931bd00,0.00375,3,unknown_hx,0,0,unknown_hx
