P-Reps,stagnant_voter_count,total_voter_count,stagnant_votes,prep_total_votes,included_network_total_votes,current_network_total_votes,prep_ranking,extraction_date
ICONLEO,15,41,18089.790994584542,316198.7802805749,317826173.01422006,317826173.01421994,87,2020-10-29
GagarinCrypto,15,31,117692.8084,309501.2899,317826173.01422006,317826173.01421994,88,2020-10-29
Plan-P,29,61,20299.299995628688,308197.99082407885,317826173.01422006,317826173.01421994,89,2020-10-29
Staked Tech,40,83,142475.89480913908,305650.5776806042,317826173.01422006,317826173.01421994,90,2020-10-29
ICON Guide Star,28,70,37205.61203985004,282989.99190065917,317826173.01422006,317826173.01421994,91,2020-10-29
ICON Econ,49,80,255242.48794512328,269305.0757788228,317826173.01422006,317826173.01421994,92,2020-10-29
DSNC,39,71,35037.7262568144,254633.1929157259,317826173.01422006,317826173.01421994,93,2020-10-29
Sunrise,42,67,14368.577599999999,247162.75140934964,317826173.01422006,317826173.01421994,94,2020-10-29
Sicko Node,33,54,168804.80476799002,230882.6045426891,317826173.01422006,317826173.01421994,95,2020-10-29
icon-node-NL,34,63,191219.21297323707,222559.75077806492,317826173.01422006,317826173.01421994,96,2020-10-29
DELIGHT,45,81,137764.17600000004,219028.08389587287,317826173.01422006,317826173.01421994,97,2020-10-29
Frontlines Media,21,36,174420.15288841646,212729.76323974668,317826173.01422006,317826173.01421994,98,2020-10-29
ICON BOOM,46,75,22288.148985844662,202021.0749582125,317826173.01422006,317826173.01421994,99,2020-10-29
Yudus Lab,10,18,185624.51309952533,192988.99339952532,317826173.01422006,317826173.01421994,100,2020-10-29
RemICX,16,36,3863.4997025900293,176278.210058151,317826173.01422006,317826173.01421994,101,2020-10-29
Icon Panda,24,49,100072.14748458078,163589.67111226113,317826173.01422006,317826173.01421994,102,2020-10-29
HypoICON,35,60,135113.26474103663,155143.67552060023,317826173.01422006,317826173.01421994,103,2020-10-29
ICX FREEZER,43,76,95345.42735180729,147814.76450038163,317826173.01422006,317826173.01421994,104,2020-10-29
InfStones,47,67,123554.0416852482,139214.6138852482,317826173.01422006,317826173.01421994,105,2020-10-29
Gilga Capital,55,84,55246.75770622778,126360.68962791434,317826173.01422006,317826173.01421994,106,2020-10-29
loop57,25,47,84943.94944943125,116351.81996809291,317826173.01422006,317826173.01421994,107,2020-10-29
ICXmerch,22,44,7187.392796887166,98314.77062555403,317826173.01422006,317826173.01421994,108,2020-10-29
A_Block,37,73,40426.52537073875,92657.31054839036,317826173.01422006,317826173.01421994,109,2020-10-29
Sesameseed,13,46,7387.331694696253,80592.95735735889,317826173.01422006,317826173.01421994,110,2020-10-29
FOCUS,27,52,52380.31862955977,71711.74067156599,317826173.01422006,317826173.01421994,111,2020-10-29
X-node,34,64,17318.823988926102,65674.1880663186,317826173.01422006,317826173.01421994,112,2020-10-29
ICONIST VOTE WISELY,15,29,37739.60904459328,48640.153984593286,317826173.01422006,317826173.01421994,113,2020-10-29
iccc node,15,26,5244.171396200338,47953.36964608289,317826173.01422006,317826173.01421994,114,2020-10-29
manifest-icon,29,50,15081.332271833511,44545.69819137227,317826173.01422006,317826173.01421994,115,2020-10-29
FOMO MASTERNODE,37,59,20265.435969055263,43408.596596430485,317826173.01422006,317826173.01421994,116,2020-10-29
DFG Crypto,14,30,5938.1185,34863.8185,317826173.01422006,317826173.01421994,117,2020-10-29
HASHRATE PLUS,38,66,18937.973866311215,34263.63522462792,317826173.01422006,317826173.01421994,118,2020-10-29
Nodeasy.com,11,23,3089.959187208673,33245.77790038337,317826173.01422006,317826173.01421994,119,2020-10-29
IFnLIFE,24,36,17958.251600000003,28929.75881983359,317826173.01422006,317826173.01421994,120,2020-10-29
Noris [New Node],20,35,10515.980300000001,28902.297599999994,317826173.01422006,317826173.01421994,121,2020-10-29
Xangle,28,47,12779.71823433564,27105.790134247418,317826173.01422006,317826173.01421994,122,2020-10-29
MW node,10,17,17710.1673,26657.4801,317826173.01422006,317826173.01421994,123,2020-10-29
neo_icon,17,44,8835.311500000002,26325.712330090573,317826173.01422006,317826173.01421994,124,2020-10-29
Bit Cat,18,36,4004.1624398152685,22238.855360981408,317826173.01422006,317826173.01421994,125,2020-10-29
mirai,11,22,3511.4680000000003,19770.408051175807,317826173.01422006,317826173.01421994,126,2020-10-29
Azabu Research,29,51,9896.795507999997,19295.684208,317826173.01422006,317826173.01421994,127,2020-10-29
PakChina,23,38,7883.590900000001,16620.317600000002,317826173.01422006,317826173.01421994,128,2020-10-29
nel node,12,26,4252.6275000000005,15498.109432238152,317826173.01422006,317826173.01421994,129,2020-10-29
Common Computer Online,13,27,4850.02402137949,15080.258819313038,317826173.01422006,317826173.01421994,130,2020-10-29
Cobo ICON,16,31,2068.052783080212,9110.445283080213,317826173.01422006,317826173.01421994,131,2020-10-29
OZYS node,2,11,219.6791,4318.378200000001,317826173.01422006,317826173.01421994,132,2020-10-29
