week,delegator,sum_votes,how_many_prep_voted,raffle_tickets,total_votes,total_votes,total_votes,total_votes,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep
,,,,,min,max,median,mean,min,max,median,mean
2020-39,hx5b038a80b468ed9b581f666bbcd01316f4782ba3,15765.3858,14,1,396.3133,1646.133,1269.3025499999999,1126.0989857142856,2.51382%,10.44144%,8.05120%,7.14286%
2020-39,hxc884dc0d06b9ede780f563eef6f0a788e831489e,380957.6784918663,14,1,743.4886,57826.10024600222,28698.552793883166,27211.26274941902,0.19516%,15.17914%,7.53327%,7.14286%
2020-39,hxe3dd8785da38941b2d6893b027502a586be5edb1,694.3269,14,1,27.7731,118.0355,45.131299999999996,49.59477857142857,4.00000%,16.99999%,6.50001%,7.14286%
2020-39,hxbcdd18151cbe679fe638e073e4b8aa3d963f9995,10850.5372,14,1,9.0606,1300.7341999999983,1034.18665,775.0383714285715,0.08350%,11.98774%,9.53120%,7.14286%
2020-39,hx82a8319354bbdf73087c60a019563c980061f592,30104.204100000006,14,1,825.0978,5152.664100000001,1898.78015,2150.300292857143,2.74081%,17.11609%,6.30736%,7.14286%
2020-39,hxbae2c2c3b5461d945ea9d040c8287ab11d524c95,165.02989999999946,14,1,0.0,123.58330000000018,1.0,11.001993333333298,0.00000%,74.88540%,0.60595%,6.66667%
2020-39,hxb163cdee7a21a16177b9a1b150fc66717320a934,106498.0,14,1,4442.0,20006.0,6320.26585,7607.0,4.17097%,18.78533%,5.93463%,7.14286%
2020-39,hx8e1c9e9a72d54632fb8769bbd9417d1af1be079b,9165.6515,14,1,248.9274,998.8518,656.9276999999998,654.6893928571428,2.71587%,10.89777%,7.16728%,7.14286%
2020-39,hx00d85a59cfacc2a44e924f4a7892271145747c60,5979.883699999999,14,1,15.944700000000001,3620.0000000000005,133.6639,427.13454999999993,0.26664%,60.53629%,2.23523%,7.14286%
2020-39,hxfdb805565bde3986d4ef2ef22ddf1094e4019796,79962.07230000001,14,1,546.4497,7941.5622,5956.17165,5711.576592857144,0.68339%,9.93166%,7.44875%,7.14286%
