P-Reps,stagnant_voter_count,total_voter_count,stagnant_votes,prep_total_votes,included_network_total_votes,current_network_total_votes,prep_ranking,extraction_date
MouseBelt | Multi.io,57,189,598281.2330675184,1826899.93629242,306328292.80758744,316827517.1688375,35,2020-10-05
MinerGate,50,160,1197749.8920747172,1826247.740562498,306328292.80758744,316827517.1688375,36,2020-10-05
Orangebloc,12,42,1434409.1997999998,1778682.0857984633,306328292.80758744,316827517.1688375,37,2020-10-05
Midos,5,76,13160.004400000002,1742873.7950447144,306328292.80758744,316827517.1688375,38,2020-10-05
Iconoscope,28,95,11468.868875440308,1679646.3903016336,306328292.80758744,316827517.1688375,39,2020-10-05
Piconbello,43,170,48711.12486815652,1674390.664543386,306328292.80758744,316827517.1688375,40,2020-10-05
Hourglass,8,46,1236965.5858,1586350.6424789336,306328292.80758744,316827517.1688375,41,2020-10-05
Cardinal,15,47,1196292.5814,1552845.1955869214,306328292.80758744,316827517.1688375,42,2020-10-05
ICON Sweden,192,502,611489.8037264509,1534483.534959487,306328292.80758744,316827517.1688375,43,2020-10-05
DEMOS,39,135,886079.6119999998,1369152.5141118052,306328292.80758744,316827517.1688375,44,2020-10-05
OneLife 9to5,11,42,11299.860999999999,1222650.349234557,306328292.80758744,316827517.1688375,45,2020-10-05
Yudus Lab,1,18,15.9992,1192102.4935995252,306328292.80758744,316827517.1688375,46,2020-10-05
ICON Labs,31,191,71958.47343368022,1083417.8492326234,306328292.80758744,316827517.1688375,47,2020-10-05
StakingTeam,42,184,89523.4744,1067209.550591221,306328292.80758744,316827517.1688375,48,2020-10-05
Chainode Tech,73,222,178649.93078829758,1057962.7041857599,306328292.80758744,316827517.1688375,49,2020-10-05
Silicon Valley ICON,22,148,147168.63489524453,1048936.3104976492,306328292.80758744,316827517.1688375,50,2020-10-05
Newroad,80,265,426016.31165243284,956801.020131064,306328292.80758744,316827517.1688375,51,2020-10-05
ICONNECT-Global,53,146,697462.1264242454,928674.9706432823,306328292.80758744,316827517.1688375,52,2020-10-05
Metanyx,32,152,521766.2512378512,923010.9420604977,306328292.80758744,316827517.1688375,53,2020-10-05
Blockchain at Berkeley,104,316,372049.91645445826,897354.8447898891,306328292.80758744,316827517.1688375,54,2020-10-05
ICX_Stratos,16,47,795893.7850133816,892591.7930743322,306328292.80758744,316827517.1688375,55,2020-10-05
ICX Australia,158,400,242664.89974658872,865697.488247857,306328292.80758744,316827517.1688375,56,2020-10-05
HOLA ICON,20,104,95269.46358226505,779646.8502501571,306328292.80758744,316827517.1688375,57,2020-10-05
ICX Belgium,12,111,9201.432900501022,759034.6023030304,306328292.80758744,316827517.1688375,58,2020-10-05
Alice,15,50,11730.913383400004,756490.404221853,306328292.80758744,316827517.1688375,59,2020-10-05
RHYTHM (Australia),10,82,9332.206704727494,740367.2260032739,306328292.80758744,316827517.1688375,60,2020-10-05
iconic innovation,23,94,9697.91537082185,700608.1332716077,306328292.80758744,316827517.1688375,61,2020-10-05
Progression,8,54,7584.8063,685068.8209703114,306328292.80758744,316827517.1688375,62,2020-10-05
ICON Russia,6,63,90813.47692668674,675443.1525810763,306328292.80758744,316827517.1688375,63,2020-10-05
Signal9,118,360,136320.15240325686,659665.0289772406,306328292.80758744,316827517.1688375,64,2020-10-05
ICON Chicago,18,109,15293.269560000002,625363.9304152471,306328292.80758744,316827517.1688375,65,2020-10-05
Hermes Greece,10,64,31518.6364,611576.8606073429,306328292.80758744,316827517.1688375,66,2020-10-05
The Iconist,29,218,23342.933181358432,592812.3386431831,306328292.80758744,316827517.1688375,67,2020-10-05
ICX Malta,11,59,6154.5709,585207.5837339727,306328292.80758744,316827517.1688375,68,2020-10-05
Foundry Box Media,23,92,253360.54659999997,577280.8367155134,306328292.80758744,316827517.1688375,69,2020-10-05
POCKET / FIGMENT,74,213,241512.25269999992,553890.7293149462,306328292.80758744,316827517.1688375,70,2020-10-05
Espanicon,13,89,102024.1229,519111.07651275565,306328292.80758744,316827517.1688375,71,2020-10-05
ICON4Education,12,110,1939.555758357743,495900.46660267725,306328292.80758744,316827517.1688375,72,2020-10-05
ICON Spark,10,92,1625.0229000000002,482701.4535331774,306328292.80758744,316827517.1688375,73,2020-10-05
UNBLOCK,29,155,38053.619199999994,454026.60546990926,306328292.80758744,316827517.1688375,74,2020-10-05
Blockheads Development,56,149,145031.93435415023,449544.7922477448,306328292.80758744,316827517.1688375,75,2020-10-05
Transcranial Solutions,11,47,94498.37939999999,427370.0584076004,306328292.80758744,316827517.1688375,76,2020-10-05
ICON Thailand,10,81,329005.5772,426011.2802291099,306328292.80758744,316827517.1688375,77,2020-10-05
ICON USA,19,126,330711.9803662318,418071.91916896147,306328292.80758744,316827517.1688375,78,2020-10-05
ICONSG,11,50,692.0925000000001,398099.7708862003,306328292.80758744,316827517.1688375,79,2020-10-05
DRAICON BALL,35,110,218924.6164882241,396902.8700279731,306328292.80758744,316827517.1688375,80,2020-10-05
Wetez,10,40,3410.1316904761225,395908.0782904762,306328292.80758744,316827517.1688375,81,2020-10-05
ICON Oasis,19,86,9048.210065539915,388136.6351817242,306328292.80758744,316827517.1688375,82,2020-10-05
ICON-NYC,12,95,2116.0721448659174,375368.9766360517,306328292.80758744,316827517.1688375,83,2020-10-05
Staked Tech,12,80,64055.336800000005,315543.0451981026,306328292.80758744,316827517.1688375,84,2020-10-05
Staked,64,188,66526.97905588268,312341.5579630529,306328292.80758744,316827517.1688375,85,2020-10-05
Iconserve,17,82,10056.984,305755.924247404,306328292.80758744,316827517.1688375,86,2020-10-05
Plan-P,14,55,6736.641362217661,302934.16966473975,306328292.80758744,316827517.1688375,87,2020-10-05
GagarinCrypto,7,30,100738.2297,300954.8898,306328292.80758744,316827517.1688375,88,2020-10-05
Icon-4-Business,9,73,916.0641778319458,291507.2995932342,306328292.80758744,316827517.1688375,89,2020-10-05
ICON Guide Star,9,67,4305.683300000001,283508.25373310543,306328292.80758744,316827517.1688375,90,2020-10-05
ICONLEO,3,35,3371.6593000000003,281878.0870572969,306328292.80758744,316827517.1688375,91,2020-10-05
ICON Econ,17,76,207934.70030000003,268217.13380388543,306328292.80758744,316827517.1688375,92,2020-10-05
Sunrise,15,66,10227.735199999997,246301.77710629164,306328292.80758744,316827517.1688375,93,2020-10-05
Sicko Node,6,52,1178.8476,227543.9434318993,306328292.80758744,316827517.1688375,94,2020-10-05
icon-node-NL,12,57,10197.991997995912,219025.29204043956,306328292.80758744,316827517.1688375,95,2020-10-05
DELIGHT,22,77,16840.2028,214823.651452163,306328292.80758744,316827517.1688375,96,2020-10-05
Frontlines Media,10,34,169562.45049999998,206143.30047446556,306328292.80758744,316827517.1688375,97,2020-10-05
ICON BOOM,24,74,14314.725585844659,200316.69638462586,306328292.80758744,316827517.1688375,98,2020-10-05
ICON London,16,134,4585.512090862881,198215.8545409068,306328292.80758744,316827517.1688375,99,2020-10-05
ICONIST VOTE WISELY,10,30,2593.026544593282,174221.10004459327,306328292.80758744,316827517.1688375,100,2020-10-05
RemICX,2,29,0.34419999999999995,170085.2709729327,306328292.80758744,316827517.1688375,101,2020-10-05
Icon Panda,6,42,535.9296127856761,160330.175324075,306328292.80758744,316827517.1688375,102,2020-10-05
HypoICON,4,61,889.3848,157447.74878222562,306328292.80758744,316827517.1688375,103,2020-10-05
ICX FREEZER,21,75,83098.63799999999,146018.00072703382,306328292.80758744,316827517.1688375,104,2020-10-05
DSNC,18,65,16508.0677,142820.3127835348,306328292.80758744,316827517.1688375,105,2020-10-05
InfStones,33,65,110360.141,138724.4640852482,306328292.80758744,316827517.1688375,106,2020-10-05
Gilga Capital,19,83,22284.600600000005,127274.96822791433,306328292.80758744,316827517.1688375,107,2020-10-05
loop57,13,45,3504.3443425398104,116562.19894943124,306328292.80758744,316827517.1688375,108,2020-10-05
ICXmerch,6,42,2188.9311999999995,87962.4490637116,306328292.80758744,316827517.1688375,109,2020-10-05
A_Block,19,65,4123.053458118755,87223.81478224593,306328292.80758744,316827517.1688375,110,2020-10-05
X-node,7,61,4505.793599999999,74736.63087374021,306328292.80758744,316827517.1688375,111,2020-10-05
FOCUS,8,50,6527.2667,66013.29037316293,306328292.80758744,316827517.1688375,112,2020-10-05
mirai,1,20,42.0615,46850.91399999999,306328292.80758744,316827517.1688375,113,2020-10-05
manifest-icon,15,47,5808.993771833511,45326.03538388885,306328292.80758744,316827517.1688375,114,2020-10-05
Xangle,10,46,2010.6997999999999,43066.72303424742,306328292.80758744,316827517.1688375,115,2020-10-05
HASHRATE PLUS,17,64,4685.647599999999,38808.18083868611,306328292.80758744,316827517.1688375,116,2020-10-05
FOMO MASTERNODE,13,59,4961.845200000001,36742.305769055274,306328292.80758744,316827517.1688375,117,2020-10-05
Nodeasy.com,5,24,5046.698787208673,31773.745687208673,306328292.80758744,316827517.1688375,118,2020-10-05
IFnLIFE,8,37,1901.3464,30411.19631983359,306328292.80758744,316827517.1688375,119,2020-10-05
MW node,5,18,2458.3831,26967.685400000002,306328292.80758744,316827517.1688375,120,2020-10-05
neo_icon,4,42,3146.5521000000003,26245.300895792574,306328292.80758744,316827517.1688375,121,2020-10-05
Noris [New Node],9,35,910.2719,25791.560499999992,306328292.80758744,316827517.1688375,122,2020-10-05
PakChina,13,37,3549.2622,23396.303999999996,306328292.80758744,316827517.1688375,123,2020-10-05
Bit Cat,10,34,585.3077398152685,22023.317025363118,306328292.80758744,316827517.1688375,124,2020-10-05
nel node,7,26,1351.899,21683.9132,306328292.80758744,316827517.1688375,125,2020-10-05
Azabu Research,13,49,5496.228108,20420.308408,306328292.80758744,316827517.1688375,126,2020-10-05
DFG Crypto,6,30,1484.0282,20174.4071,306328292.80758744,316827517.1688375,127,2020-10-05
Common Computer Online,3,25,190.83599999999998,14616.510816561458,306328292.80758744,316827517.1688375,128,2020-10-05
iccc node,5,21,1518.219677420559,12356.143496200337,306328292.80758744,316827517.1688375,130,2020-10-05
Cobo ICON,5,28,630.5103050659477,9351.919783080211,306328292.80758744,316827517.1688375,131,2020-10-05
