P-Reps,stagnant_voter_count,total_voter_count,stagnant_votes,prep_total_votes,included_network_total_votes,current_network_total_votes,prep_ranking,extraction_date
ICX Belgium,49,111,59763.14238130874,759034.6023030304,316823080.9053377,316827517.1688375,58,2020-10-05
Alice,27,50,14406.022804500004,756490.404221853,316823080.9053377,316827517.1688375,59,2020-10-05
RHYTHM (Australia),36,82,149332.2485047275,740367.2260032739,316823080.9053377,316827517.1688375,60,2020-10-05
iconic innovation,54,94,460453.8786285162,700608.1332716077,316823080.9053377,316827517.1688375,61,2020-10-05
Progression,22,54,30346.6255,685068.8209703114,316823080.9053377,316827517.1688375,62,2020-10-05
ICON Russia,22,63,120275.32156056461,675443.1525810763,316823080.9053377,316827517.1688375,63,2020-10-05
Signal9,210,360,199649.93273895167,659665.0289772406,316823080.9053377,316827517.1688375,64,2020-10-05
ICON Chicago,53,109,69441.3436166183,625363.9304152471,316823080.9053377,316827517.1688375,65,2020-10-05
Hermes Greece,22,64,199112.74480015843,611576.8606073429,316823080.9053377,316827517.1688375,66,2020-10-05
The Iconist,84,218,232569.60955813556,592812.3386431831,316823080.9053377,316827517.1688375,67,2020-10-05
ICX Malta,29,59,31915.78506801878,585207.5837339727,316823080.9053377,316827517.1688375,68,2020-10-05
Foundry Box Media,42,92,335368.0232000001,577280.8367155134,316823080.9053377,316827517.1688375,69,2020-10-05
POCKET / FIGMENT,127,213,356366.69005000003,553890.7293149462,316823080.9053377,316827517.1688375,70,2020-10-05
Espanicon,38,89,131162.5861533974,519111.07651275565,316823080.9053377,316827517.1688375,71,2020-10-05
ICON4Education,47,110,94492.57109289327,495900.46660267725,316823080.9053377,316827517.1688375,72,2020-10-05
ICON Spark,43,92,23234.93190860537,482701.4535331774,316823080.9053377,316827517.1688375,73,2020-10-05
UNBLOCK,75,155,184606.20838765468,454026.60546990926,316823080.9053377,316827517.1688375,74,2020-10-05
Blockheads Development,93,149,292968.3176101236,449544.7922477448,316823080.9053377,316827517.1688375,75,2020-10-05
Transcranial Solutions,25,47,107728.41280401444,427370.0584076004,316823080.9053377,316827517.1688375,76,2020-10-05
ICON Thailand,36,81,363373.1776768786,426011.2802291099,316823080.9053377,316827517.1688375,77,2020-10-05
ICON USA,62,126,356025.86351071496,418071.91916896147,316823080.9053377,316827517.1688375,78,2020-10-05
ICONSG,21,50,26729.121400000004,398099.7708862003,316823080.9053377,316827517.1688375,79,2020-10-05
DRAICON BALL,65,110,295775.5697847427,396902.8700279731,316823080.9053377,316827517.1688375,80,2020-10-05
Wetez,24,40,384230.4774904761,395908.0782904762,316823080.9053377,316827517.1688375,81,2020-10-05
ICON Oasis,45,86,19082.033470091905,388136.6351817242,316823080.9053377,316827517.1688375,82,2020-10-05
ICON-NYC,45,95,28239.091559321303,375368.9766360517,316823080.9053377,316827517.1688375,83,2020-10-05
Staked Tech,31,80,134089.45890000003,315543.0451981026,316823080.9053377,316827517.1688375,84,2020-10-05
Staked,111,188,195865.29412460304,312341.5579630529,316823080.9053377,316827517.1688375,85,2020-10-05
Iconserve,45,82,36791.48130555029,305755.924247404,316823080.9053377,316827517.1688375,86,2020-10-05
Plan-P,25,55,15248.759262217662,302934.16966473975,316823080.9053377,316827517.1688375,87,2020-10-05
GagarinCrypto,16,30,278567.9993,300954.8898,316823080.9053377,316827517.1688375,88,2020-10-05
Icon-4-Business,30,73,70870.57156778128,291507.2995932342,316823080.9053377,316827517.1688375,89,2020-10-05
ICON Guide Star,27,67,29366.423013951844,283508.25373310543,316823080.9053377,316827517.1688375,90,2020-10-05
ICONLEO,13,35,17152.06108680714,281878.0870572969,316823080.9053377,316827517.1688375,91,2020-10-05
ICON Econ,42,76,241109.85546227935,268217.13380388543,316823080.9053377,316827517.1688375,92,2020-10-05
Sunrise,38,66,15523.478317429219,246301.77710629164,316823080.9053377,316827517.1688375,93,2020-10-05
Sicko Node,28,52,17620.179300000003,227543.9434318993,316823080.9053377,316827517.1688375,94,2020-10-05
icon-node-NL,24,57,13892.368573237014,219025.29204043956,316823080.9053377,316827517.1688375,95,2020-10-05
DELIGHT,44,77,135395.2151,214823.651452163,316823080.9053377,316827517.1688375,96,2020-10-05
Frontlines Media,20,34,174358.55698841644,206143.30047446556,316823080.9053377,316827517.1688375,97,2020-10-05
ICON BOOM,44,74,20514.282608700712,200316.69638462586,316823080.9053377,316827517.1688375,98,2020-10-05
ICON London,61,134,106070.45524941833,198215.8545409068,316823080.9053377,316827517.1688375,99,2020-10-05
ICONIST VOTE WISELY,17,30,37623.78884459328,174221.10004459327,316823080.9053377,316827517.1688375,100,2020-10-05
RemICX,11,29,3574.2943025900295,170085.2709729327,316823080.9053377,316827517.1688375,101,2020-10-05
Icon Panda,20,42,114311.18078862096,160330.175324075,316823080.9053377,316827517.1688375,102,2020-10-05
HypoICON,33,61,19553.292741036596,157447.74878222562,316823080.9053377,316827517.1688375,103,2020-10-05
ICX FREEZER,42,75,100356.7397938888,146018.00072703382,316823080.9053377,316827517.1688375,104,2020-10-05
DSNC,36,65,33138.47609999999,142820.3127835348,316823080.9053377,316827517.1688375,105,2020-10-05
InfStones,49,65,125344.32220000002,138724.4640852482,316823080.9053377,316827517.1688375,106,2020-10-05
Gilga Capital,46,83,60326.82899999999,127274.96822791433,316823080.9053377,316827517.1688375,107,2020-10-05
loop57,27,45,91118.44514943125,116562.19894943124,316823080.9053377,316827517.1688375,108,2020-10-05
ICXmerch,21,42,6610.237228329753,87962.4490637116,316823080.9053377,316827517.1688375,109,2020-10-05
A_Block,40,65,35517.12287073875,87223.81478224593,316823080.9053377,316827517.1688375,110,2020-10-05
X-node,33,61,29534.519786934074,74736.63087374021,316823080.9053377,316827517.1688375,111,2020-10-05
FOCUS,28,50,49684.16304108211,66013.29037316293,316823080.9053377,316827517.1688375,112,2020-10-05
mirai,10,20,1556.518,46850.91399999999,316823080.9053377,316827517.1688375,113,2020-10-05
manifest-icon,26,47,11689.073583888843,45326.03538388885,316823080.9053377,316827517.1688375,114,2020-10-05
Xangle,24,46,19420.721200000004,43066.72303424742,316823080.9053377,316827517.1688375,115,2020-10-05
HASHRATE PLUS,30,64,7779.2483,38808.18083868611,316823080.9053377,316827517.1688375,116,2020-10-05
FOMO MASTERNODE,36,59,17345.586769055255,36742.305769055274,316823080.9053377,316827517.1688375,117,2020-10-05
Nodeasy.com,16,24,28559.172987208673,31773.745687208673,316823080.9053377,316827517.1688375,118,2020-10-05
IFnLIFE,23,37,22483.281000000003,30411.19631983359,316823080.9053377,316827517.1688375,119,2020-10-05
MW node,9,18,13181.3835,26967.685400000002,316823080.9053377,316827517.1688375,120,2020-10-05
neo_icon,15,42,9274.8922,26245.300895792574,316823080.9053377,316827517.1688375,121,2020-10-05
Noris [New Node],17,35,6449.598300000001,25791.560499999992,316823080.9053377,316827517.1688375,122,2020-10-05
PakChina,21,37,6726.8444,23396.303999999996,316823080.9053377,316827517.1688375,123,2020-10-05
Bit Cat,19,34,1770.1836857152682,22023.317025363118,316823080.9053377,316827517.1688375,124,2020-10-05
nel node,15,26,10741.321099999997,21683.9132,316823080.9053377,316827517.1688375,125,2020-10-05
Azabu Research,26,49,9304.032708,20420.308408,316823080.9053377,316827517.1688375,126,2020-10-05
DFG Crypto,14,30,6728.0907,20174.4071,316823080.9053377,316827517.1688375,127,2020-10-05
Common Computer Online,11,25,3198.5451999999996,14616.510816561458,316823080.9053377,316827517.1688375,128,2020-10-05
Sesameseed,10,21,7018.213494696253,13752.71633858625,316823080.9053377,316827517.1688375,129,2020-10-05
iccc node,13,21,4777.031577420559,12356.143496200337,316823080.9053377,316827517.1688375,130,2020-10-05
Cobo ICON,12,28,1301.1680349189758,9351.919783080211,316823080.9053377,316827517.1688375,131,2020-10-05
