P-Reps,prep_ranking,stagnant_votes_30_days,stagnant_votes_60_days,stagnant_votes_90_days
ICON Labs,47,391715.84509027796,139100.3980339997,71958.47343368022
StakingTeam,48,464547.3903024207,128159.09329193698,89523.4744
Chainode Tech,49,343601.61305391096,202103.4325882976,178649.93078829758
Silicon Valley ICON,50,220148.01117346832,150237.31208298728,147168.63489524453
Newroad,51,648570.6996524325,465943.4105524328,426016.31165243284
ICONNECT-Global,52,745139.0725596151,707835.3127242454,697462.1264242454
Metanyx,53,637346.5383083664,528687.5136378512,521766.2512378512
Blockchain at Berkeley,54,515546.55006798427,387707.7739756766,372049.91645445826
ICX_Stratos,55,797283.1722210908,796775.5752975803,795893.7850133816
ICX Australia,56,646355.88532343,282070.84460187785,242664.89974658872
HOLA ICON,57,244521.51682989261,123723.44078011945,95269.46358226505
ICX Belgium,58,59763.14238130874,38796.29059587861,9201.432900501022
Alice,59,14406.022804500004,13876.813273900005,11730.913383400004
RHYTHM (Australia),60,149332.2485047275,21768.588904727494,9332.206704727494
iconic innovation,61,460453.8786285162,15195.339070821845,9697.91537082185
Progression,62,30346.6255,28373.9708,7584.8063
ICON Russia,63,120275.32156056461,90948.02212668673,90813.47692668674
Signal9,64,199649.93273895167,146138.3393032569,136320.15240325686
ICON Chicago,65,69441.3436166183,34591.924972,15293.269560000002
Hermes Greece,66,199112.74480015843,35282.14330015841,31518.6364
The Iconist,67,232569.60955813556,63513.1398756989,23342.933181358432
ICX Malta,68,31915.78506801878,6321.49309293368,6154.5709
Foundry Box Media,69,335368.0232000001,253842.78929999997,253360.54659999997
POCKET / FIGMENT,70,356366.69005000003,257844.63959999988,241512.25269999992
Espanicon,71,131162.5861533974,118069.30140000003,102024.1229
ICON4Education,72,94492.57109289327,10864.241658357743,1939.555758357743
ICON Spark,73,23234.93190860537,10471.765350498943,1625.0229000000002
UNBLOCK,74,184606.20838765468,103194.6187,38053.619199999994
Blockheads Development,75,292968.3176101236,151401.15545415023,145031.93435415023
Transcranial Solutions,76,107728.41280401444,98981.41829999998,94498.37939999999
ICON Thailand,77,363373.1776768786,354227.64776900905,329005.5772
ICON USA,78,356025.86351071496,334687.15538454894,330711.9803662318
ICONSG,79,26729.121400000004,809.0926999999999,692.0925000000001
DRAICON BALL,80,295775.5697847427,222132.86948822407,218924.6164882241
Wetez,81,384230.4774904761,6378.788590476122,3410.1316904761225
ICON Oasis,82,19082.033470091905,13315.198512939281,9048.210065539915
ICON-NYC,83,28239.091559321303,4045.1366961460094,2116.0721448659174
Staked Tech,84,134089.45890000003,82474.479,64055.336800000005
Staked,85,195865.29412460304,176792.12086837966,66526.97905588268
Iconserve,86,36791.48130555029,11405.854905550288,10056.984
Plan-P,87,15248.759262217662,6846.641362217661,6736.641362217661
GagarinCrypto,88,278567.9993,100982.016,100738.2297
Icon-4-Business,89,70870.57156778128,65645.75544286639,916.0641778319458
ICON Guide Star,90,29366.423013951844,24357.466800000002,4305.683300000001
ICONLEO,91,17152.06108680714,4937.8075,3371.6593000000003
ICON Econ,92,241109.85546227935,238277.46626227934,207934.70030000003
Sunrise,93,15523.478317429219,12316.744299999997,10227.735199999997
Sicko Node,94,17620.179300000003,1420.0864,1178.8476
icon-node-NL,95,13892.368573237014,11002.823627822636,10197.991997995912
DELIGHT,96,135395.2151,70727.3515,16840.2028
Frontlines Media,97,174358.55698841644,170281.0463,169562.45049999998
ICON BOOM,98,20514.282608700712,19456.02968584466,14314.725585844659
ICON London,99,106070.45524941833,10659.007016084995,4585.512090862881
ICONIST VOTE WISELY,100,37623.78884459328,36136.13594459328,2593.026544593282
RemICX,101,3574.2943025900295,599.115,0.34419999999999995
Icon Panda,102,114311.18078862096,96374.01848862098,535.9296127856761
HypoICON,103,19553.292741036596,2009.8409087204584,889.3848
ICX FREEZER,104,100356.7397938888,89241.2286,83098.63799999999
DSNC,105,33138.47609999999,29737.0942,16508.0677
InfStones,106,125344.32220000002,111795.288,110360.141
Gilga Capital,107,60326.82899999999,35065.51760000001,22284.600600000005
loop57,108,91118.44514943125,83540.16583050812,3504.3443425398104
ICXmerch,109,6610.237228329753,3175.3935999999994,2188.9311999999995
A_Block,110,35517.12287073875,4423.162904238754,4123.053458118755
X-node,111,29534.519786934074,18004.85638693408,4505.793599999999
FOCUS,112,49684.16304108211,41772.3024,6527.2667
mirai,113,1556.518,539.6636000000001,42.0615
manifest-icon,114,11689.073583888843,10794.544971833513,5808.993771833511
Xangle,115,19420.721200000004,6882.7586,2010.6997999999999
HASHRATE PLUS,116,7779.2483,4759.414399999999,4685.647599999999
FOMO MASTERNODE,117,17345.586769055255,9542.403979514816,4961.845200000001
Nodeasy.com,118,28559.172987208673,5559.623587208673,5046.698787208673
IFnLIFE,119,22483.281000000003,2842.6823,1901.3464
MW node,120,13181.3835,7486.6124,2458.3831
neo_icon,121,9274.8922,3302.5442000000003,3146.5521000000003
Noris [New Node],122,6449.598300000001,915.0718999999999,910.2719
PakChina,123,6726.8444,3792.7835,3549.2622
Bit Cat,124,1770.1836857152682,742.9944398152685,585.3077398152685
nel node,125,10741.321099999997,9549.1366,1351.899
Azabu Research,126,9304.032708,5661.342108,5496.228108
DFG Crypto,127,6728.0907,1532.4557,1484.0282
Common Computer Online,128,3198.5451999999996,2076.0951,190.83599999999998
Sesameseed,129,7018.213494696253,413.77551534554897,0.0
iccc node,130,4777.031577420559,4284.1121774205585,1518.219677420559
Cobo ICON,131,1301.1680349189758,769.4721349189756,630.5103050659477
OZYS node,132,0.0,0.0,0.0
