P-Reps,stagnant_voter_count,total_voter_count,stagnant_votes,prep_total_votes,included_network_total_votes,current_network_total_votes,prep_ranking,extraction_date
Newroad,97,265,465943.4105524328,956801.020131064,314853454.1969927,316827517.1688375,51,2020-10-05
ICONNECT-Global,65,146,707835.3127242454,928674.9706432823,314853454.1969927,316827517.1688375,52,2020-10-05
Metanyx,43,152,528687.5136378512,923010.9420604977,314853454.1969927,316827517.1688375,53,2020-10-05
Blockchain at Berkeley,126,316,387707.7739756766,897354.8447898891,314853454.1969927,316827517.1688375,54,2020-10-05
ICX_Stratos,21,47,796775.5752975803,892591.7930743322,314853454.1969927,316827517.1688375,55,2020-10-05
ICX Australia,188,400,282070.84460187785,865697.488247857,314853454.1969927,316827517.1688375,56,2020-10-05
HOLA ICON,27,104,123723.44078011945,779646.8502501571,314853454.1969927,316827517.1688375,57,2020-10-05
ICX Belgium,29,111,38796.29059587861,759034.6023030304,314853454.1969927,316827517.1688375,58,2020-10-05
Alice,19,50,13876.813273900005,756490.404221853,314853454.1969927,316827517.1688375,59,2020-10-05
RHYTHM (Australia),17,82,21768.588904727494,740367.2260032739,314853454.1969927,316827517.1688375,60,2020-10-05
iconic innovation,31,94,15195.339070821845,700608.1332716077,314853454.1969927,316827517.1688375,61,2020-10-05
Progression,15,54,28373.9708,685068.8209703114,314853454.1969927,316827517.1688375,62,2020-10-05
ICON Russia,8,63,90948.02212668673,675443.1525810763,314853454.1969927,316827517.1688375,63,2020-10-05
Signal9,140,360,146138.3393032569,659665.0289772406,314853454.1969927,316827517.1688375,64,2020-10-05
ICON Chicago,27,109,34591.924972,625363.9304152471,314853454.1969927,316827517.1688375,65,2020-10-05
Hermes Greece,14,64,35282.14330015841,611576.8606073429,314853454.1969927,316827517.1688375,66,2020-10-05
The Iconist,45,218,63513.1398756989,592812.3386431831,314853454.1969927,316827517.1688375,67,2020-10-05
ICX Malta,15,59,6321.49309293368,585207.5837339727,314853454.1969927,316827517.1688375,68,2020-10-05
Foundry Box Media,27,92,253842.78929999997,577280.8367155134,314853454.1969927,316827517.1688375,69,2020-10-05
POCKET / FIGMENT,96,213,257844.63959999988,553890.7293149462,314853454.1969927,316827517.1688375,70,2020-10-05
Espanicon,21,89,118069.30140000003,519111.07651275565,314853454.1969927,316827517.1688375,71,2020-10-05
ICON4Education,26,110,10864.241658357743,495900.46660267725,314853454.1969927,316827517.1688375,72,2020-10-05
ICON Spark,20,92,10471.765350498943,482701.4535331774,314853454.1969927,316827517.1688375,73,2020-10-05
UNBLOCK,47,155,103194.6187,454026.60546990926,314853454.1969927,316827517.1688375,74,2020-10-05
Blockheads Development,64,149,151401.15545415023,449544.7922477448,314853454.1969927,316827517.1688375,75,2020-10-05
Transcranial Solutions,17,47,98981.41829999998,427370.0584076004,314853454.1969927,316827517.1688375,76,2020-10-05
ICON Thailand,20,81,354227.64776900905,426011.2802291099,314853454.1969927,316827517.1688375,77,2020-10-05
ICON USA,33,126,334687.15538454894,418071.91916896147,314853454.1969927,316827517.1688375,78,2020-10-05
ICONSG,13,50,809.0926999999999,398099.7708862003,314853454.1969927,316827517.1688375,79,2020-10-05
DRAICON BALL,42,110,222132.86948822407,396902.8700279731,314853454.1969927,316827517.1688375,80,2020-10-05
Wetez,11,40,6378.788590476122,395908.0782904762,314853454.1969927,316827517.1688375,81,2020-10-05
ICON Oasis,30,86,13315.198512939281,388136.6351817242,314853454.1969927,316827517.1688375,82,2020-10-05
ICON-NYC,21,95,4045.1366961460094,375368.9766360517,314853454.1969927,316827517.1688375,83,2020-10-05
Staked Tech,18,80,82474.479,315543.0451981026,314853454.1969927,316827517.1688375,84,2020-10-05
Staked,84,188,176792.12086837966,312341.5579630529,314853454.1969927,316827517.1688375,85,2020-10-05
Iconserve,23,82,11405.854905550288,305755.924247404,314853454.1969927,316827517.1688375,86,2020-10-05
Plan-P,16,55,6846.641362217661,302934.16966473975,314853454.1969927,316827517.1688375,87,2020-10-05
GagarinCrypto,12,30,100982.016,300954.8898,314853454.1969927,316827517.1688375,88,2020-10-05
Icon-4-Business,20,73,65645.75544286639,291507.2995932342,314853454.1969927,316827517.1688375,89,2020-10-05
ICON Guide Star,15,67,24357.466800000002,283508.25373310543,314853454.1969927,316827517.1688375,90,2020-10-05
ICONLEO,4,35,4937.8075,281878.0870572969,314853454.1969927,316827517.1688375,91,2020-10-05
ICON Econ,29,76,238277.46626227934,268217.13380388543,314853454.1969927,316827517.1688375,92,2020-10-05
Sunrise,21,66,12316.744299999997,246301.77710629164,314853454.1969927,316827517.1688375,93,2020-10-05
Sicko Node,8,52,1420.0864,227543.9434318993,314853454.1969927,316827517.1688375,94,2020-10-05
icon-node-NL,15,57,11002.823627822636,219025.29204043956,314853454.1969927,316827517.1688375,95,2020-10-05
DELIGHT,30,77,70727.3515,214823.651452163,314853454.1969927,316827517.1688375,96,2020-10-05
Frontlines Media,13,34,170281.0463,206143.30047446556,314853454.1969927,316827517.1688375,97,2020-10-05
ICON BOOM,32,74,19456.02968584466,200316.69638462586,314853454.1969927,316827517.1688375,98,2020-10-05
ICON London,26,134,10659.007016084995,198215.8545409068,314853454.1969927,316827517.1688375,99,2020-10-05
ICONIST VOTE WISELY,13,30,36136.13594459328,174221.10004459327,314853454.1969927,316827517.1688375,100,2020-10-05
RemICX,5,29,599.115,170085.2709729327,314853454.1969927,316827517.1688375,101,2020-10-05
Icon Panda,13,42,96374.01848862098,160330.175324075,314853454.1969927,316827517.1688375,102,2020-10-05
HypoICON,11,61,2009.8409087204584,157447.74878222562,314853454.1969927,316827517.1688375,103,2020-10-05
ICX FREEZER,30,75,89241.2286,146018.00072703382,314853454.1969927,316827517.1688375,104,2020-10-05
DSNC,27,65,29737.0942,142820.3127835348,314853454.1969927,316827517.1688375,105,2020-10-05
InfStones,35,65,111795.288,138724.4640852482,314853454.1969927,316827517.1688375,106,2020-10-05
Gilga Capital,27,83,35065.51760000001,127274.96822791433,314853454.1969927,316827517.1688375,107,2020-10-05
loop57,18,45,83540.16583050812,116562.19894943124,314853454.1969927,316827517.1688375,108,2020-10-05
ICXmerch,10,42,3175.3935999999994,87962.4490637116,314853454.1969927,316827517.1688375,109,2020-10-05
A_Block,25,65,4423.162904238754,87223.81478224593,314853454.1969927,316827517.1688375,110,2020-10-05
X-node,16,61,18004.85638693408,74736.63087374021,314853454.1969927,316827517.1688375,111,2020-10-05
FOCUS,15,50,41772.3024,66013.29037316293,314853454.1969927,316827517.1688375,112,2020-10-05
mirai,5,20,539.6636000000001,46850.91399999999,314853454.1969927,316827517.1688375,113,2020-10-05
manifest-icon,21,47,10794.544971833513,45326.03538388885,314853454.1969927,316827517.1688375,114,2020-10-05
Xangle,14,46,6882.7586,43066.72303424742,314853454.1969927,316827517.1688375,115,2020-10-05
HASHRATE PLUS,19,64,4759.414399999999,38808.18083868611,314853454.1969927,316827517.1688375,116,2020-10-05
FOMO MASTERNODE,23,59,9542.403979514816,36742.305769055274,314853454.1969927,316827517.1688375,117,2020-10-05
Nodeasy.com,7,24,5559.623587208673,31773.745687208673,314853454.1969927,316827517.1688375,118,2020-10-05
IFnLIFE,10,37,2842.6823,30411.19631983359,314853454.1969927,316827517.1688375,119,2020-10-05
MW node,8,18,7486.6124,26967.685400000002,314853454.1969927,316827517.1688375,120,2020-10-05
neo_icon,7,42,3302.5442000000003,26245.300895792574,314853454.1969927,316827517.1688375,121,2020-10-05
Noris [New Node],10,35,915.0718999999999,25791.560499999992,314853454.1969927,316827517.1688375,122,2020-10-05
PakChina,15,37,3792.7835,23396.303999999996,314853454.1969927,316827517.1688375,123,2020-10-05
Bit Cat,13,34,742.9944398152685,22023.317025363118,314853454.1969927,316827517.1688375,124,2020-10-05
nel node,11,26,9549.1366,21683.9132,314853454.1969927,316827517.1688375,125,2020-10-05
Azabu Research,15,49,5661.342108,20420.308408,314853454.1969927,316827517.1688375,126,2020-10-05
DFG Crypto,7,30,1532.4557,20174.4071,314853454.1969927,316827517.1688375,127,2020-10-05
Common Computer Online,8,25,2076.0951,14616.510816561458,314853454.1969927,316827517.1688375,128,2020-10-05
Sesameseed,4,21,413.77551534554897,13752.71633858625,314853454.1969927,316827517.1688375,129,2020-10-05
iccc node,9,21,4284.1121774205585,12356.143496200337,314853454.1969927,316827517.1688375,130,2020-10-05
Cobo ICON,6,28,769.4721349189756,9351.919783080211,314853454.1969927,316827517.1688375,131,2020-10-05
