week,delegator,sum_votes,how_many_prep_voted,raffle_tickets,total_votes,total_votes,total_votes,total_votes,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep
,,,,,min,max,median,mean,min,max,median,mean
2020-49,hxe03b68f5e0fafd46eed4b9ab805a95734278a3bd,79924.22850000001,24,2,1394.1098,5048.066099999999,3403.067250000001,3330.1761875000007,1.74429%,6.31606%,4.25787%,4.16667%
2020-49,hx171a92e51f8f199d509c61699897bdc93f265761,2529.044,23,2,50.5808,379.3566,75.8713,109.95843478260869,2.00000%,15.00000%,3.00000%,4.34783%
2020-49,hxb812766bc41d782edd84f7b8a36c97fcaf6bfd39,243.5324,23,2,3.6574999999999998,29.8749,10.0,10.588365217391305,1.50185%,12.26732%,4.10623%,4.34783%
2020-49,hx6aee4d81a36e730ef217616542ed7c654829ead2,2999.0093,23,2,59.9801,180.2131,120.1421,130.39170869565217,2.00000%,6.00909%,4.00606%,4.34783%
2020-49,hx4c9cc8daac26a7547d378fc9d1960bd9e3187870,478.04330000000004,23,2,6.2176,86.089,20.0,20.784491304347828,1.30064%,18.00862%,4.18372%,4.34783%
2020-49,hx396b89b9167f5b1ca55e8224fcff78b22677bf1f,7552.8096115380595,23,2,139.96104842816473,695.877575954777,258.4896597437197,328.3830265886113,1.85310%,9.21349%,3.42243%,4.34783%
2020-49,hxee4ed659a48922c4f5dbe97ab3fcdc35a7010924,10136.932700000001,23,2,196.18959999999998,810.0657,392.2957,440.7362043478261,1.93539%,7.99123%,3.86996%,4.34783%
2020-49,hx4b3aec7d9d401557939d392e03721025eee2a6a7,213656.00979999997,22,2,3752.8878,13034.034199999998,7900.12405,9711.636809090907,1.75651%,6.10048%,3.69759%,4.54545%
2020-49,hxb50bf047dfdce1e3b21ee7cde229a99a29e3569d,38374.6756,22,2,745.6016,3807.4334,1864.0039,1744.3034363636364,1.94295%,9.92173%,4.85738%,4.54545%
2020-49,hxd6b8a685743ab7134eeb545947741817e0caf4af,10416.5696,22,2,104.2116,1396.6519000000003,436.2595,473.4804363636364,1.00044%,13.40798%,4.18813%,4.54545%
2020-49,hx2e48a07fc66eb6de9cebb40d6fc3b6407174b92e,1017.9877,22,2,45.9877,49.0,46.0,46.27216818181818,4.51751%,4.81342%,4.51872%,4.54545%
2020-49,hx349502ce9e2e1f290769bfa4d2a878a0cfb0050f,4349.36,22,2,197.0,212.35999999999993,197.0,197.6981818181818,4.52940%,4.88256%,4.52940%,4.54545%
2020-49,hx77035912d806f04dad1a0d33ba6014effcc7fbc0,20014.0,21,2,14.0,1000.0,1000.0,953.047619047619,0.06995%,4.99650%,4.99650%,4.76190%
2020-49,hx3c117f6c88806a9a37f5602ab884568d71138239,8664.3614,21,2,350.8427,524.2645000000001,350.8427,412.5886380952381,4.04926%,6.05082%,4.04926%,4.76190%
2020-49,hx44f4a5faccae3e1a109e95c896c13ae234d4d145,2283.9844000000007,21,2,6.5012,627.0958,79.4095,108.76116190476193,0.28464%,27.45622%,3.47680%,4.76190%
2020-49,hx624cc71bdd83371ed6ed32ba06c705e8d586244c,32840.0172,21,2,10.0,25865.7536,56.8865,1563.810342857143,0.03045%,78.76291%,0.17322%,4.76190%
2020-49,hxc7b808aaa9c8582cd5adc39be974df20a55c55e0,48320.16930000001,21,2,5.0,24682.1493,10.0,2300.9604428571433,0.01035%,51.08043%,0.02070%,4.76190%
2020-49,hxac10537896b44850e68db5d5ef50d57af82953da,2755.1885,21,2,20.0,300.0,100.0,131.19945238095238,0.72590%,10.88855%,3.62952%,4.76190%
2020-49,hxad9a11d1d6a37c499284b9ce23e38f1e9b3e0894,50914.7217,21,2,105.4244,9413.5175,1492.9952,2424.510557142857,0.20706%,18.48879%,2.93234%,4.76190%
2020-49,hxf29415b3cce08c8ef94b5ab0cd50a261710d90cb,220.359,21,2,10.0,15.359000000000002,10.0,10.493285714285715,4.53805%,6.96999%,4.53805%,4.76190%
2020-49,hxd5831e3323d39b999a92970d1a1d4a5e848dda46,8195.9179,21,2,259.42539999999997,569.3248,422.1933,390.28180476190477,3.16530%,6.94644%,5.15126%,4.76190%
2020-49,hxc6bdf332de359c46f3bedbb1776ce0f8ce78a1b6,856020.4328,20,2,696.4701,55718.623100000004,50632.6541,42801.02164,0.08136%,6.50903%,5.91489%,5.00000%
2020-49,hxf0fa3e948b05eca500400a88c13808d0797e4850,26383.436400000002,20,2,50.0,23783.436400000002,50.0,1319.17182,0.18951%,90.14533%,0.18951%,5.00000%
2020-49,hx23c7091c5c63676d0667653d2c1a0791cf9236d2,884.3240000000003,20,2,44.2,44.523999999999994,44.2,44.216200000000015,4.99817%,5.03481%,4.99817%,5.00000%
2020-49,hxcb95e7390d67723f0cd7830aaa56a248763817d8,353.4459,20,2,11.4459,18.0,18.0,17.672295,3.23837%,5.09272%,5.09272%,5.00000%
2020-49,hx1cd1e371a8f885f68799aa837e287c5c442e9adb,49999.999999999985,20,2,200.0,9221.8106,2222.0705000000003,2499.999999999999,0.40000%,18.44362%,4.44414%,5.00000%
2020-49,hx18e6ff393f3e2d47649494b0708141e87d46d98f,88.10000000000001,20,2,4.405,4.405,4.405,4.405,5.00000%,5.00000%,5.00000%,5.00000%
2020-49,hx6c4f4f44ae546e57eac829897ed94337fdad47af,5604.4105,20,2,0.0,500.0,200.0,266.87669047619045,0.00000%,8.92154%,3.56862%,4.76190%
2020-49,hx6df7bc87eb3a0a7c38ec7edca32d82a3595071d9,1278.7951000000005,20,2,26.7933,415.36770000000007,44.6556,63.93975500000003,2.09520%,32.48118%,3.49201%,5.00000%
2020-49,hx99e3d951340ad78f48437eae250cb05f9f4d0284,22142.0039,20,2,432.7106,2646.6874999999995,471.39049999999986,1107.100195,1.95425%,11.95324%,2.12894%,5.00000%
2020-49,hxe46fa4aa6d20d1ee400654fd5f328632ed319f0b,703.9411000000001,20,2,9.3244,211.45710000000003,24.812649999999998,35.197055000000006,1.32460%,30.03903%,3.52482%,5.00000%
2020-49,hxa745e00938fb20c9b55406d21d2fa175d248ff9c,3095.8172,20,2,18.3565,400.0,80.0,154.79086,0.59295%,12.92066%,2.58413%,5.00000%
2020-49,hxb69e92375ef41990daba1ff2f72409555f787aa8,51633.75510000001,20,2,1000.0,20633.75510000001,1000.0,2581.6877550000004,1.93672%,39.96176%,1.93672%,5.00000%
2020-49,hx6017e7e70f316db3dc5eeeb955fc9fe9713a4bb2,6710.150699999999,20,2,330.0,340.0,335.0,335.50753499999996,4.91792%,5.06695%,4.99244%,5.00000%
2020-49,hx5203a1c4db4ce125e32d81205a8bff763ff579f1,87281.78831708901,20,2,331.1250163557178,18226.42049701804,3187.424252574896,4364.089415854451,0.37937%,20.88227%,3.65188%,5.00000%
2020-49,hx7f02efbae58798bb1c5b42c16aa85fbbc4c8db41,13384.428,20,2,500.0,1884.428,500.0,669.2214,3.73568%,14.07926%,3.73568%,5.00000%
2020-49,hx913399911d719b0ae91071c4c9017f0f1e8ca8f0,997.9848000000002,20,2,9.9898,108.8884,49.94925,49.899240000000006,1.00100%,10.91083%,5.00501%,5.00000%
2020-49,hxb17745d715f488307816fb9d2861bc2d08c39e5c,1034.0,20,2,31.02,103.4,51.7,51.7,3.00000%,10.00000%,5.00000%,5.00000%
2020-49,hx8e1c9e9a72d54632fb8769bbd9417d1af1be079b,7702.560599999999,20,2,0.0,1080.9521000000002,221.46520000000004,366.7886,0.00000%,14.03367%,2.87522%,4.76190%
2020-49,hxe67b818b6ab2967afc6ede848658c66802b8ab9c,460.0,20,2,23.0,23.0,23.0,23.0,5.00000%,5.00000%,5.00000%,5.00000%
2020-49,hx857353391e454d7fc60f4879224aade697602877,335.15999999999997,20,2,6.7032,23.4613,16.758,16.758,2.00000%,7.00003%,5.00000%,5.00000%
2020-49,hx82a8319354bbdf73087c60a019563c980061f592,33508.9659,19,1,0.0,5152.664100000001,1501.94315,1675.4482950000001,0.00000%,15.37697%,4.48221%,5.00000%
2020-49,hxf7680b84aed887350194c26bd98996312020379f,51471.99999999911,19,1,2709.0526315788984,2709.0526315789,2709.0526315788993,2709.0526315789007,5.26316%,5.26316%,5.26316%,5.26316%
2020-49,hx20268fdf7c282d97b5a91441bb6d3f218dc49f9c,168.82949999999994,19,1,3.9872,16.232,8.482000000000001,8.885763157894734,2.36167%,9.61443%,5.02400%,5.26316%
2020-49,hx82b4acc37a019e08235724f88d4cb0f130a0a208,36177.2167,19,1,882.8539999999999,3000.0,1769.7059,1904.0640368421052,2.44036%,8.29251%,4.89177%,5.26316%
2020-49,hx6829babd7389aa7f91b62ee46065a9562df008cf,185244.9096,19,1,5000.0,20160.6088,10000.0,9749.732084210527,2.69913%,10.88322%,5.39826%,5.26316%
2020-49,hx40bc58ea43241b88e13e3e2b54db0eefa73108fd,147978.34370000003,19,1,291.0607,30647.567699999996,5362.6061,7788.33387894737,0.19669%,20.71085%,3.62391%,5.26316%
2020-49,hx02d9625fede24e2378ab6e96cf354cb350992c65,5048.3453,18,1,50.9367,451.8808,301.2539,280.4636277777778,1.00898%,8.95107%,5.96738%,5.55556%
2020-49,hx35684b6a38b8e7b54ad385a2b986d09c8bc83f61,4744.441900000001,18,1,128.1256,857.0828,237.2695,263.5801055555556,2.70054%,18.06499%,5.00100%,5.55556%
2020-49,hx02e7a0938791fcbd5379740a3f7cdbd5c75c690e,3872.1109,18,1,200.0,300.0,200.0,215.11727222222223,5.16514%,7.74771%,5.16514%,5.55556%
2020-49,hx179358d62f45c8327fab772dfc3bf08b8d5c1259,1635.2766,18,1,40.5453,170.0,76.98294999999999,90.8487,2.47942%,10.39579%,4.70764%,5.55556%
2020-49,hx81f933da3f0ef5fe89887e06cb3b2f80aba4010b,5900.9314,18,1,213.4852,500.0,300.0,327.82952222222224,3.61782%,8.47324%,5.08394%,5.55556%
2020-49,hx26907c177186f27613f85431237f3d68cf303528,41791.803400000004,18,1,1474.4764,4233.4072,2364.66005,2321.7668555555556,3.52815%,10.12975%,5.65819%,5.55556%
2020-49,hx3de2860d953d0ce3827bf02b7d0837e5917774cb,29738.7887,17,1,296.9658,3009.6785,1832.687,1749.340511764706,0.99858%,10.12038%,6.16261%,5.88235%
2020-49,hxb09866aadc6d5b5e9c2c222f4419fa02e34939a9,5005.9999999984,17,1,294.4705882352,294.47058823520007,294.4705882352,294.4705882352,5.88235%,5.88235%,5.88235%,5.88235%
2020-49,hxc30aabbc541d3ad4019aa5675fc553549852130e,8788.5989,17,1,188.5989,1000.0,500.0,516.976405882353,2.14595%,11.37838%,5.68919%,5.88235%
2020-49,hxdeb908625fcab32473b9ab4798fb140bdd290324,886.6675,17,1,50.0,86.6675,50.0,52.15691176470588,5.63909%,9.77452%,5.63909%,5.88235%
2020-49,hx808c36535f80aa585c3431d7d0eba102ed34cb47,18568.8333,17,1,995.9682,1163.9904,1087.8827,1092.2843117647058,5.36366%,6.26852%,5.85865%,5.88235%
2020-49,hx53c974aa02514313dc3e5371d3703051e4825f3b,88756.7734,17,1,756.7734,8500.000000000002,2500.0,5220.986670588236,0.85264%,9.57673%,2.81669%,5.88235%
2020-49,hxa4556d928cfabb02caa1f07078f579638b5d4357,13353.070109482156,17,1,45.351529722597604,3014.4885214823735,365.9875569930538,785.4747123224797,0.33963%,22.57525%,2.74085%,5.88235%
2020-49,hx91b9df44a0679a85ff83199b5f66529a45bf2dbb,3012.5092,17,1,120.6441,427.2504,147.9242,177.20642352941175,4.00477%,14.18254%,4.91033%,5.88235%
2020-49,hx10e196b23d1b042a6a1ff67931598458f8cef7f5,2999.7461000000003,17,1,30.0813,722.5695000000001,60.1626,176.45565294117648,1.00279%,24.08769%,2.00559%,5.88235%
2020-49,hx6c6cbea1f364be1be5a56f9d5b5675a3f9828366,20271.0552,17,1,2.0,4061.2,906.922,1192.415011764706,0.00987%,20.03448%,4.47398%,5.88235%
2020-49,hx6b9dcbd1234b5f5317b04fc4bcfb31930d0d4895,573.8751,17,1,10.0,86.1359,34.4542,33.75735882352941,1.74254%,15.00952%,6.00378%,5.88235%
2020-49,hx87455c62c2ef3f37496fb2fef0df86fdadada87c,165873.8411,17,1,5873.841100000001,10000.0,10000.0,9757.284770588234,3.54115%,6.02868%,6.02868%,5.88235%
2020-49,hx864c5eec5eccb203772a322cd711ae7f5c8dec77,11868.288499999999,16,1,179.52030000000002,1649.8154,680.23595,741.7680312499999,1.51260%,13.90104%,5.73154%,6.25000%
2020-49,hx442f62bda2157037af839c7075f43f16b2d4cc91,25554.6051,16,1,527.852,8139.955899999999,861.1478,1597.16281875,2.06558%,31.85319%,3.36983%,6.25000%
2020-49,hx980c88105afbc6dec15d6e44bea29289c2ab6683,1303.1315,16,1,50.0,100.0,100.0,81.44571875,3.83691%,7.67382%,7.67382%,6.25000%
2020-49,hx91449e6edfd99af685c9c376024db63fca65e236,3440.2428999999993,16,1,100.88479999999973,1100.0,103.92220000000002,215.01518124999996,2.93249%,31.97449%,3.02078%,6.25000%
