biweek,delegator,sum_votes,how_many_prep_voted,raffle_tickets,total_votes,total_votes,total_votes,total_votes,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,Qualified
,,,,,min,max,median,mean,min,max,median,mean,
2021-07 & 2021-08,hxd6a0f3c38e42062d21ef9692bd024e9a10491fef,1677.9780450000007,59,5,28.440305847457626,28.440305847457626,28.440305847457626,28.44030584745764,1.69492%,1.69492%,1.69492%,1.69492%,yes
2021-07 & 2021-08,hx09d665b22d168924e3b18b3d9e966f40f181c9e6,2094.138768989999,59,5,0.0,35.493877440508484,35.49387744050848,32.72091826546873,0.00000%,1.69492%,1.69492%,1.56250%,yes
2021-07 & 2021-08,hxd76608230d7d7616c21f1f4369a2e01ff24d828e,684.4925596700002,59,5,0.0,11.601568807966103,11.601568807966101,10.695196244843753,0.00000%,1.69492%,1.69492%,1.56250%,yes
2021-07 & 2021-08,hx56bb33159bdd29219be69c2f3757f7874b5a8a68,864.5714695799994,59,5,0.0,14.653753721694915,14.653753721694915,14.17330277999999,0.00000%,1.69492%,1.69492%,1.63934%,yes
2021-07 & 2021-08,hx09a3721f04405c9f332c90b910a0c204c0b9c54e,30117.18936156998,59,5,0.0,510.46083663677973,510.4608366367796,470.58108377453095,0.00000%,1.69492%,1.69492%,1.56250%,yes
2021-07 & 2021-08,hxd7eab4a02efb999e23dfcc2ca4d81b543bde752b,767.7576366700007,59,5,0.0,13.012841299491527,13.012841299491527,11.99621307296876,0.00000%,1.69492%,1.69492%,1.56250%,yes
2021-07 & 2021-08,hxd8c28f62cbbcc8cf5e1bda221ded1b3904354801,1008.4785465200013,59,5,0.0,17.09285672067797,17.09285672067797,12.298518860000016,0.00000%,1.69492%,1.69492%,1.21951%,yes
2021-07 & 2021-08,hx0770f348938d4209d3d970437cf121518d3bfe7e,23.99999999999999,59,5,0.4067796610169492,0.4067796610169492,0.4067796610169492,0.40677966101694896,1.69492%,1.69492%,1.69492%,1.69492%,not_enough
2021-07 & 2021-08,hxd8cac8c9ffacc99c41e6df923d9c2381b011d39a,1290.6800000000003,59,5,21.87593220338983,21.87593220338983,21.87593220338983,21.875932203389837,1.69492%,1.69492%,1.69492%,1.69492%,yes
2021-07 & 2021-08,hx7a973431eb569b7c8b6b75885574926bfcd4a584,2909.9246863400035,59,5,0.0,49.320757395593226,49.320757395593226,45.467573224062555,0.00000%,1.69492%,1.69492%,1.56250%,yes
2021-07 & 2021-08,hxd9dc34a2c4ea26b75888d3f0e1f456163d92a331,1699.9999999999986,59,5,0.0,28.813559322033917,28.81355932203389,26.153846153846132,0.00000%,1.69492%,1.69492%,1.53846%,yes
2021-07 & 2021-08,hxda44c22b026834497bc7d5ebf493025b34412800,1049.2818041799997,59,5,0.0,17.784437358983055,17.78443735898305,16.395028190312495,0.00000%,1.69492%,1.69492%,1.56250%,yes
2021-07 & 2021-08,hx56482b6108491f03f58d1daa755b457f0cf92d56,501.0272428800004,59,5,0.0,8.491987167457628,8.491987167457628,8.213561358688532,0.00000%,1.69492%,1.69492%,1.63934%,yes
2021-07 & 2021-08,hx08e2277c16bbff74d03f47bc5d90ae95231fce33,699.5243822600005,59,5,0.0,11.8563454620339,11.856345462033897,10.930068472812508,0.00000%,1.69492%,1.69492%,1.56250%,yes
2021-07 & 2021-08,hx3d007a43e669a86eb7371a6fd41db44392fe56cd,1019.9999999999992,59,5,17.288135593220343,17.288135593220343,17.288135593220343,17.288135593220325,1.69492%,1.69492%,1.69492%,1.69492%,yes
2021-07 & 2021-08,hxc0cf66cd072d5d67fae79f885c9340c2bdbdc3ae,76.00000000000006,59,5,1.288135593220339,1.288135593220339,1.288135593220339,1.28813559322034,1.69492%,1.69492%,1.69492%,1.69492%,not_enough
