validator,validator_name,rank,delegation,bond,power
hx4109ae2bda803171fac8b75e713b3a3f033e969b,MW node,154,6092.32682505,0.0,0.0
hx364b02bc9ec8a8823e44330874539b419e0bc889,Cypher Core,155,5599.9744,0.0,0.0
hx5c6713beb2ff74c9b9d64e0216f33a79929ab4b6,StakeBowl,156,5333.1193,0.0,0.0
hx1f6da7d57810e812d030fbbd3144690e481e24fc,Common Computer Online,157,4306.14778832,0.0,0.0
hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,158,3620.17441831,0.0,0.0
hx5b7cef0d8d9208a53df4cb5ca84ee3a9a530d5b7,iccc node,159,3396.2357,0.0,0.0
hx5796d7fb3442759bee4aaeaa4e6618a034f630b1,Gilga Capital,160,2826.5819,0.0,0.0
hxf49551380a26055a26f4dffd3aa837e66877571b,Wetez,161,1319.61895838,0.0,0.0
hxa0d49a837bea86b737350577762d7af85a25c31d,IconHero,162,102.0892,0.0,0.0
hx49aff6baa1d2a69730d935068ce8f64eb8d508ef,ParaState,163,0.0,0.0,0.0
hx9abc22e349dbd659f7c36ad443b1553220bb649e,Common Computer,164,0.0,0.0,0.0
