validator,validator_name,cum_votes_update,,
hx800853ad662997466bd41653329ba97a2ed1f838,ICON Econ,75812.4062,,82422.61994
hx1be230522449d87274fa8f326fed22e3cacfe4c0,ICON Thailand,71843.62218,,79297.47387
hxecf2a15a708dde0cf35aedb22344bd0fe0f88f98,manifest-icon,70491.77523,,74828.57916
hx6f09a1d35ea1f22467df4f0d04a78b4422dcd30e,FOCUS,68976.79468,,67708.92487
hxb58637355ffd78ac0a66bb3be8c038712fc5912b,IFnLIFE,65683.77098,,61804.979
hx2f8b9e265975bd6d99c6ea45219105174e8674d8,iconic innovation,62751.67797,,61659.7288
hxd243919468353a59250114d3ea891de8486f37c0,Iconserve,62430.64311,,55276.17708
hxd17cc393d0b0a59f0a03e4fb4ac1ab196743162f,Hermes Greece,38732.91082,,52680.65556
hx29fbc9cfb184d75d74cab33c70820a696998b596,ICONIST VOTE WISELY - twitter.com/info_prep,34151.63943,,43374.50232
hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,34136.03924,,42213.48293
hx6deee24065b8fa75298b0a22c5a221e2587ba09d,Sunrise,33319.58439,,39438.76894
hxfe9a226b2910584cebd9596e4effd8a8c0e3e039,Nodeasy.com,31638.37569,,35172.56066
hx704cf476389a2e3ab13ca33eeea9480ee172cf60,ICON Russia,31076.54798,,35123.44854
hxab1b04e7975ed14074bbbd530333e815c4f36340,The Iconist,30752.02644,,33388.10411
hx03b3f70f1a5acdd9cd5967460a665092c921411a,neo_icon,29261.59724,,33176.8324
hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,28607.74704,,32834.92101
hx5ccbcb12e2248acfd420b9adb79ceb8f324107d6,Frontlines Media,28001.08339,,28976.31667
hx87d5c36add6d96c2c0dcc349223c528a99fb26f6,DFG Crypto,27828.47051,,27100.28222
hx8d7f98f88560fc957d410afb53c5b269bebc8799,icxpromotions,26721.68013,,25353.62177
hx468a3871c1e8d7e61581fae29258fcacf13e5150,ICX FREEZER,24469.01961,,21475.40671
hxa5772c57dd9c67ed09578270847de6fc2bf73b53,Wiz node,21758.04283,,20812.32119
hxa83c659bcebca1c6cbf9a94477a7005d09461569,ICXmerch,21611.23502,,20682.42496
hxbb5355790905d790dff2aa04de5ff786a5211958,Xangle,20669.26371,,19425.0797
hx8f0eca05fa5f8e0d3f8f440693b9a718ec31fae8,HASHRATE PLUS,18619.34903,,18959.04229
hxd4f3fc3fbdc475874285abf9459119f8dede31dd,Sicko Node,16304.39959,,18393.11503
hx4d345781b9701df7b5e884a3653327fc63ffb69e,Cobo ICON,16196.58689,,17607.92703
hx9d068caab70c41f7ddf3ab3d9bcce8a8dbffa089,Noris [New Node],16112.04021,,15723.0675
hxf825b64910cdbe57c6f8afb9dd235b10b884eac5,Azabu Research,15212.12555,,15711.01042
hx4109ae2bda803171fac8b75e713b3a3f033e969b,MW node,15119.1728,,15383.6156
hxa30a0e0f59956381a02f8010eab27491026c5c33,PakChina,12819.35907,,14335.85595
hxf77557cf000d80e369c9e13c2b7775a30d1f7c6b,nel node,10586.84637,,13182.12505
hx958eb3e5e9e41e53d000f684af78fd7384f2fe12,Yudus Lab,10273.2237,,9154.565482
hxb027c59078f71f0d6c06d5becad464d488fd20bb,Bit Cat,9442.476609,,7676.570565
hx5b7cef0d8d9208a53df4cb5ca84ee3a9a530d5b7,iccc node,6953.304351,,6142.897296
hx364b02bc9ec8a8823e44330874539b419e0bc889,Cypher Core,5599.9744,,5799.025208
hx0d0882a489794eeb9d176bcc80b664ff9d54e616,CCBR_POSTECH,5120.695208,,5599.9744
hx5796d7fb3442759bee4aaeaa4e6618a034f630b1,Gilga Capital,4268.9437,,5179.431144
hx1f6da7d57810e812d030fbbd3144690e481e24fc,Common Computer Online,3863.335312,,4268.9437
hxf49551380a26055a26f4dffd3aa837e66877571b,Wetez,2861.831002,,3765.755812
hx9abc22e349dbd659f7c36ad443b1553220bb649e,Common Computer,0,,0
,,,,
,,361553869.2,,351013864.2
,,,,
,,3.00%,,
