date,marketCap,icxCirculation,icxSupply,publicTreasury,iglobal
2020-11-12,204259634.0,572202555.0,864158668.0,6339836.0,
2020-11-13,205387656.0,572339065.0,864297158.0,6381971.0,
2020-11-14,207783809.0,572542847.0,864503016.0,6451043.0,
2020-11-15,202667956.0,572612243.0,864572413.0,6421909.0,
2020-11-16,199493837.0,572749578.0,864711227.0,6481759.0,
2020-11-17,203965131.0,572884739.0,864847951.0,6515725.0,
2020-11-18,204911715.0,573022018.0,864986470.0,6524228.0,
2020-11-19,196539544.0,573160430.0,865125348.0,6540856.0,
2020-11-20,198970467.0,573297125.0,865263780.0,6576891.0,
2020-11-21,206200134.0,573432250.0,865399442.0,6605584.0,
2020-11-22,225928959.0,573570702.0,865538186.0,6603348.0,
2020-11-23,223398141.0,573707701.0,865676308.0,6647638.0,
2020-11-24,239544976.0,573846327.0,865814933.0,6670806.0,
2020-11-25,265986990.0,573984642.0,865953249.0,6626059.0,
2020-11-26,287328293.0,574123051.0,866092074.0,6604575.0,
2020-11-27,221550023.0,574261439.0,866230969.0,6672271.0,
2020-11-28,224265019.0,574396217.0,866366129.0,6743939.0,
2020-11-29,243176556.0,574527670.0,866497689.0,6784814.0,
2020-11-30,233562582.0,574660978.0,866631199.0,6858165.0,
2020-12-01,250226940.0,574794196.0,866764595.0,6842889.0,
2020-12-02,243268441.0,574926812.0,866898114.0,6654422.0,
2020-12-03,250974302.0,575059905.0,867031882.0,6562885.0,
2020-12-04,253375985.0,575192183.0,867165487.0,6539479.0,
2020-12-05,236427045.0,575473412.0,867299062.0,6526770.0,
2020-12-06,239704484.0,575604218.0,867431606.0,6591883.0,
2020-12-07,235439478.0,575735090.0,867562887.0,6652009.0,
2020-12-08,245607839.0,575865004.0,867693747.0,6686641.0,
2020-12-09,229194913.0,575994689.0,867824796.0,6700861.0,
2020-12-10,225553942.0,576123800.0,867955849.0,6741956.0,
2020-12-11,219502028.0,576254387.0,868087160.0,6800335.0,
2020-12-12,208348480.0,576385264.0,868218590.0,6852212.0,
2020-12-13,217415629.0,576515091.0,868348968.0,6922347.0,
2020-12-14,225965484.0,576644397.0,868479433.0,6941281.0,
2020-12-15,226974601.0,576775636.0,868610675.0,6995796.0,
2020-12-16,232444710.0,576906629.0,868741747.0,6988096.0,
2020-12-17,238005502.0,577037622.0,868872881.0,6997212.0,
2020-12-18,245853479.0,577167487.0,869003358.0,7013898.0,
2020-12-19,241253824.0,577293644.0,869134114.0,7055361.0,
2020-12-20,251075224.0,577424282.0,869264925.0,6845217.0,
2020-12-21,254726586.0,577555624.0,869396267.0,6852401.0,
2020-12-22,233907273.0,577686891.0,869527611.0,6880294.0,
2020-12-23,231402924.0,577818213.0,869658938.0,6909030.0,
2020-12-24,216642350.0,577945483.0,869789723.0,6955271.0,
2020-12-25,212448009.0,578075689.0,869920778.0,7032613.0,
2020-12-26,237214346.0,578206729.0,870052019.0,7085530.0,
2020-12-27,245843226.0,578337918.0,870183209.0,7148671.0,
2020-12-28,242215224.0,578468146.0,870314380.0,7184502.0,
2020-12-29,255055080.0,578598735.0,870445611.0,7170613.0,
2020-12-30,249117621.0,578729171.0,870576710.0,7172555.0,
2020-12-31,278874759.0,579257711.0,870706012.0,7077177.0,
2021-01-01,262766567.0,579387293.0,870837400.0,7057993.0,
2021-01-02,263768900.0,579517899.0,870968761.0,7033272.0,
2021-01-03,258038658.0,579649535.0,871100397.0,6944979.0,
2021-01-04,271111778.0,579780036.0,871231882.0,6953112.0,
2021-01-05,277847799.0,580209490.0,871363259.0,6704748.0,
2021-01-06,327056480.0,580340248.0,871494329.0,6680432.0,
2021-01-07,370151278.0,580571263.0,871625825.0,6647983.0,
2021-01-08,350032397.0,580699519.0,871756660.0,6630269.0,
2021-01-09,361709719.0,580929864.0,871887859.0,6674974.0,
2021-01-10,380799408.0,581061544.0,872019953.0,6677423.0,
2021-01-11,351415457.0,581192445.0,872151535.0,6707221.0,
2021-01-12,331759882.0,581323522.0,872283421.0,6717453.0,
2021-01-13,337267085.0,581655889.0,872415931.0,6773801.0,
2021-01-14,340418192.0,581900942.3333334,872548007.0,6806776.0,
2021-01-15,343569299.0,582145995.6666666,872680083.0,6839751.0,
2021-01-16,346720406.0,582391049.0,872812159.0,6872726.0,
2021-01-17,407123162.0,582522950.0,872944494.0,6888726.0,
2021-01-18,383767016.0,582654990.0,873077010.0,6955965.0,
2021-01-19,430632936.0,583187831.0,873209911.0,6971066.0,
2021-01-20,423920877.0,583320079.0,873342868.0,6916831.0,
2021-01-21,412843362.0,583652599.0,873475452.0,6946202.0,
2021-01-22,437895101.0,583784904.0,873608124.0,6847944.0,
2021-01-23,426861370.0,583916641.0,873740828.0,6903566.0,
2021-01-24,433341021.0,584049275.0,873873794.0,6949795.0,
2021-01-25,441523146.0,584181828.0,874006990.0,6971519.0,
2021-01-26,507257387.0,584314186.0,874139841.0,6992309.0,
2021-01-27,503400319.0,584446138.0,874272215.0,7019772.0,
2021-01-28,466804525.0,584577844.0,874404889.0,7034607.0,
