P-Reps,stagnant_voter_count,total_voter_count,stagnant_votes,prep_total_votes,included_network_total_votes,current_network_total_votes,prep_ranking,extraction_date
Sicko Node,13,51,51769.661400000005,226302.2158318993,305653103.7457448,316124573.67260545,94,2020-10-02
icon-node-NL,15,55,10724.592497995913,226079.84699694059,305653103.7457448,316124573.67260545,95,2020-10-02
DELIGHT,31,76,33568.1172,215568.698452163,305653103.7457448,316124573.67260545,96,2020-10-02
Frontlines Media,17,34,178792.60368841645,206143.30047446556,305653103.7457448,316124573.67260545,97,2020-10-02
ICON BOOM,27,75,16438.271585844657,199334.01718787279,305653103.7457448,316124573.67260545,98,2020-10-02
ICON London,30,132,33376.15702419622,197733.5329148738,305653103.7457448,316124573.67260545,99,2020-10-02
ICONIST VOTE WISELY,12,30,4050.180744593282,174221.10004459327,305653103.7457448,316124573.67260545,100,2020-10-02
RemICX,4,28,219.29700000000003,169221.00635436206,305653103.7457448,316124573.67260545,101,2020-10-02
Icon Panda,7,40,555.1692127856761,160091.9023833024,305653103.7457448,316124573.67260545,102,2020-10-02
HypoICON,9,62,6517.1275000000005,158358.65225305784,305653103.7457448,316124573.67260545,103,2020-10-02
ICX FREEZER,32,75,96454.68522900002,143755.7480270338,305653103.7457448,316124573.67260545,104,2020-10-02
DSNC,26,65,25516.8465,141740.23368353478,305653103.7457448,316124573.67260545,105,2020-10-02
InfStones,42,64,114727.72680000003,138224.4640852482,305653103.7457448,316124573.67260545,106,2020-10-02
Gilga Capital,35,82,44963.43440000001,126248.40736910797,305653103.7457448,316124573.67260545,107,2020-10-02
loop57,20,43,6622.65724253981,116282.17284943123,305653103.7457448,316124573.67260545,108,2020-10-02
ICXmerch,9,42,4162.4525,87809.74889329216,305653103.7457448,316124573.67260545,109,2020-10-02
A_Block,22,62,5435.696658118754,85832.81108224593,305653103.7457448,316124573.67260545,110,2020-10-02
X-node,13,61,9465.565600000002,74745.55377374022,305653103.7457448,316124573.67260545,111,2020-10-02
FOCUS,9,50,6586.4701000000005,65773.64697316295,305653103.7457448,316124573.67260545,112,2020-10-02
mirai,1,20,42.0615,46649.284799999994,305653103.7457448,316124573.67260545,113,2020-10-02
manifest-icon,19,48,6961.377071833512,45413.892383888844,305653103.7457448,316124573.67260545,114,2020-10-02
Xangle,19,46,12152.64709991178,43042.55323424742,305653103.7457448,316124573.67260545,115,2020-10-02
HASHRATE PLUS,24,64,5671.8712,36410.73043868611,305653103.7457448,316124573.67260545,116,2020-10-02
FOMO MASTERNODE,19,58,6417.8135999999995,34843.51646905528,305653103.7457448,316124573.67260545,117,2020-10-02
Nodeasy.com,10,25,6506.581587208672,31782.668687208672,305653103.7457448,316124573.67260545,118,2020-10-02
IFnLIFE,8,37,4307.925700000002,29084.53311983359,305653103.7457448,316124573.67260545,119,2020-10-02
MW node,6,18,2529.6092,26967.685400000002,305653103.7457448,316124573.67260545,120,2020-10-02
Noris [New Node],16,35,7925.0401,25791.560499999992,305653103.7457448,316124573.67260545,121,2020-10-02
neo_icon,8,42,4503.0773,25497.284415922586,305653103.7457448,316124573.67260545,122,2020-10-02
PakChina,20,36,6970.7182,23340.606499999998,305653103.7457448,316124573.67260545,123,2020-10-02
Bit Cat,12,34,13803.576939815268,22023.317025363118,305653103.7457448,316124573.67260545,124,2020-10-02
nel node,15,26,7595.4176,21600.080900000004,305653103.7457448,316124573.67260545,125,2020-10-02
DFG Crypto,13,30,8054.570600000001,20174.4071,305653103.7457448,316124573.67260545,126,2020-10-02
Azabu Research,18,48,9817.885108,18574.151308,305653103.7457448,316124573.67260545,127,2020-10-02
Common Computer Online,7,25,731.0250999999998,14616.510816561458,305653103.7457448,316124573.67260545,128,2020-10-02
iccc node,8,21,2596.8123774205596,12356.143496200337,305653103.7457448,316124573.67260545,130,2020-10-02
Cobo ICON,8,28,1489.3095050659479,9348.301783080211,305653103.7457448,316124573.67260545,131,2020-10-02
