date,delegator,sum_votes,how_many_prep_voted,raffle_tickets,total_votes,total_votes,total_votes,total_votes,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep
,,,,,min,max,median,mean,min,max,median,mean
2020-12-29,hxcb95e7390d67723f0cd7830aaa56a248763817d8,355.8307,20,2,13.8307,18.0,18.0,17.791535,3.88688%,5.05859%,5.05859%,5.00000%
2020-12-29,hxe67b818b6ab2967afc6ede848658c66802b8ab9c,794.2266000000004,20,2,39.7113,39.7119,39.7113,39.71133000000002,5.00000%,5.00007%,5.00000%,5.00000%
2020-12-29,hxe46fa4aa6d20d1ee400654fd5f328632ed319f0b,721.9254,20,2,9.3244,211.45710000000003,24.812649999999998,36.09627,1.29160%,29.29071%,3.43701%,5.00000%
2020-12-29,hxb17745d715f488307816fb9d2861bc2d08c39e5c,1034.0,20,2,31.02,103.4,51.7,51.7,3.00000%,10.00000%,5.00000%,5.00000%
2020-12-29,hxf3d6326506d3093fbbeb8ca8eb0ef7a23536ef18,34624.99999999999,20,2,1632.2641,1736.4629,1736.4629,1731.2499999999995,4.71412%,5.01506%,5.01506%,5.00000%
2020-12-29,hx20268fdf7c282d97b5a91441bb6d3f218dc49f9c,168.82949999999994,19,1,3.9872,16.232,8.482000000000001,8.885763157894734,2.36167%,9.61443%,5.02400%,5.26316%
2020-12-29,hxd57953ba157721028b3fedbc7c067ed555c85e01,78033.3252,19,1,40.0,36753.3252,200.0,4107.017115789474,0.05126%,47.09952%,0.25630%,5.26316%
2020-12-29,hxe03b68f5e0fafd46eed4b9ab805a95734278a3bd,80358.08140000001,19,1,1882.495,13051.291099999999,3787.6535000000035,4229.372705263158,2.34263%,16.24142%,4.71347%,5.26316%
2020-12-29,hxc7b808aaa9c8582cd5adc39be974df20a55c55e0,48615.316699999996,19,1,5.0,48465.316699999996,10.0,2558.700878947368,0.01028%,99.69146%,0.02057%,5.26316%
2020-12-29,hx82b4acc37a019e08235724f88d4cb0f130a0a208,36177.2167,19,1,882.8539999999999,3000.0,1769.7059,1904.0640368421052,2.44036%,8.29251%,4.89177%,5.26316%
