Market Cap (USD),Circulating Supply,Total Supply,Public Treasury  ,total_staked_ICX,Total Staked  ,Circulation Staked  ,Total Voted  
388047289,562138696,853091158,6497685,321151994,0.3765,0.5713,0.3456
388154347,562293784,853246390,6560647,321710546,0.37705,0.5721499999999999,0.34625
388261405,562448872,853401623,6623610,322269098,0.3776,0.573,0.3469
375269573,562586145,853539584,6661633,323259439,0.3787,0.5746,0.348
362277741,562723418,853677546,6699656,324249780,0.3798,0.5761999999999999,0.3491
349285910,562860692,853815508,6737680,325240121,0.3809,0.5778,0.3502
355826322,562963652,853919896,6782786,326131501,0.38189999999999996,0.5793,0.35119999999999996
351299839,563099800,854057777,6809145,327342869,0.3833,0.5813,0.35259999999999997
338536870,563272455,854231343,6666811,327778029,0.3837,0.5819,0.35340000000000005
328180441,563444741,854404501,6646851,328759221,0.3848,0.5835,0.3544
300160642,563513896,854473657,6671281,329942522,0.3861,0.5855,0.3558
282476168,563686042,854647196,6668961,331544487,0.3879,0.58815,0.35755000000000003
264791695,563858189,854820735,6666641,333146453,0.3897,0.5908,0.3593
235118505,563927494,854890039,6687277,333245006,0.3898,0.5909,0.3594
250590456,564099370,855062567,6777956,333651222,0.39020000000000005,0.5915,0.35979999999999995
242177534,564236243,855200676,6821746,333911890,0.39039999999999997,0.5918,0.3602
227091416,564372557,855337004,6836284,334244941,0.3908,0.5922,0.3605
242473005,564508349,855474298,6895522,334642035,0.3912,0.5928,0.3615
257854594,564644142,855611592,6954760,335039129,0.39159999999999995,0.5934,0.3625
271364546,564850839,855819039,6998314,335868376,0.3925,0.5946,0.36340000000000006
281721657,564885376,855853575,7013312,336026899,0.3926,0.5949,0.3635
263278253,565019338,855991686,7063127,336055012,0.3926,0.5948,0.3635
303698925,565155850,856130020,7108808,336032337,0.3925,0.5946,0.36340000000000006
292199120,565293387,856268520,7124265,336269704,0.39270000000000005,0.5949,0.3643
275155985,565429480,856406781,7148387,336927312,0.3934,0.5959,0.3651
266798634,565565984,856545031,7205463,336982254,0.3934,0.5958,0.3651
262742218,565827087,856682869,7270198,337179917,0.3936,0.5959,0.3653
265297134,565998934,856855709,7364491,337221103,0.3936,0.5958,0.3651
264764553,566100966,856959400,7395465,337521653,0.39390000000000003,0.5962,0.3654
231485997,566238424,857097398,7427137,338205900,0.3946,0.5972999999999999,0.3661
232634336,566444273,857304531,7512412,338026865,0.3943,0.5968,0.36579999999999996
233731815,566513249,857373508,7511956,336980562,0.39299999999999996,0.5948,0.36460000000000004
223021074,566852595,857509331,7351746,337643620,0.3937,0.5956,0.3653
233503260,566990261,857647478,7402310,338070664,0.3942,0.5963,0.36579999999999996
237210965,567126510,857785433,7465524,338476495,0.3946,0.5968,0.36619999999999997
237214783,567264151,857923822,7476948,338801686,0.39490000000000003,0.5972999999999999,0.3665
233849316,567401277,858062064,7454252,339307425,0.39545,0.598,0.367
230483849,567538404,858200307,7431557,339813165,0.396,0.5987,0.3675
237295458,567675277,858338715,7341559,340229524,0.39640000000000003,0.5992999999999999,0.368
234923553,567812445,858476787,7299469,340392928,0.39649999999999996,0.5995,0.36810000000000004
231656419,567949954,858615130,7333383,340678018,0.3968,0.5998,0.36829999999999996
228061145,568086267,858753482,7416193,340773966,0.3968,0.5999,0.36829999999999996
226312768,568222423,858892055,7457971,341147102,0.3972,0.6004,0.36869999999999997
227764452,568359940,859030367,7407054,341420672,0.39740000000000003,0.6007,0.369
218095646,568497528,859168827,7302400,341641656,0.39759999999999995,0.601,0.36920000000000003
209929875,568634278,859306506,7336602,342012922,0.39799999999999996,0.6015,0.3696
218048738,568772038,859444729,7394502,342085618,0.39799999999999996,0.6014,0.3696
227158932,568909982,859583041,7460381,341819601,0.39770000000000005,0.6008,0.3693
227262929,569048510,859721568,7540541,342243631,0.3981,0.6014,0.3697
230281754,569185017,859859740,7552983,342266018,0.39799999999999996,0.6013000000000001,0.3697
236671836,569321039,859997759,7549149,342623088,0.39840000000000003,0.6018,0.37
233623992,569525172,860203643,7589645,344039365,0.4,0.6041,0.3664
223060486,569594035,860272506,7572833,344695197,0.4007,0.6052000000000001,0.36719999999999997
215861516,569730979,860411174,7540122,344293625,0.40020000000000006,0.6043,0.3666
209843186,569869647,860550044,7590906,344495529,0.4003,0.6045,0.3668
217709650,570007149,860688774,7635194,344706092,0.40049999999999997,0.6047,0.36700000000000005
219942811,570179393,860862471,7708238,344886803,0.4006,0.6049,0.3671
216168687,570283280,860966732,7735291,345027007,0.4007,0.605,0.36719999999999997
208381810,570420923,861105675,7791193,345169922,0.4008,0.6051,0.36729999999999996
217345434,570558098,861244203,7803490,345492957,0.4012,0.6054999999999999,0.3677
224091622,570695793,861382984,7838144,346232729,0.4019,0.6067,0.3685
211451816,570832482,861521861,7851402,346495190,0.4022,0.607,0.36869999999999997
215659087,570969341,861660626,7927292,346537663,0.4022,0.6069,0.36869999999999997
210888334,571107427,861799261,7957983,346517262,0.4021,0.6067,0.3686
201266642,571420602,861938026,8012497,346440449,0.4019,0.6063000000000001,0.3685
206783852,571557270,862076448,8087000,346815233,0.4023,0.6068,0.3689
193332688,571694640,862215196,8082831,346771477,0.4022,0.6065999999999999,0.36869999999999997
192703888,571832747,862353956,8123144,346757003,0.4021,0.6064,0.3686
179647968,571928227,862450678,7981478,347169691,0.4025,0.607,0.3689
182599029,572107249,862631878,7893292,347010148,0.4023,0.6065,0.3682
186828823,572244529,862770712,7857706,347082830,0.4023,0.6065,0.36829999999999996
184581969,572382949,862909921,7871557,347326570,0.4025,0.6068,0.3686
182587286,572521056,863049225,7926194,347703926,0.4029,0.6073,0.3689
178271068,572658397,863188047,7943102,347813406,0.4029,0.6074,0.369
179034174,572795856,863327115,7833296,348128110,0.4032,0.6078,0.3693
196686457,572932852,863466291,7868416,348311589,0.40340000000000004,0.6079,0.36939999999999995
195039541,573070774,863605330,7906645,347445896,0.4023,0.6063000000000001,0.36829999999999996
195708241,573208600,863744426,7908669,347927292,0.4028,0.607,0.3688
189504253,573346414,863883659,7888977,348290909,0.4032,0.6075,0.3691
195297647,572068274,864023567,6343641,349604385,0.4046,0.6111,0.3765
204259634,572202555,864158668,6339836,349415904,0.4043,0.6107,0.37729999999999997
205387656,572339065,864297158,6381971,350637674,0.4057,0.6126,0.3787
207783809,572542847,864503016,6451043,350265686,0.4052,0.6118,0.3784
202667956,572612243,864572413,6421909,350367860,0.4052,0.6119,0.3784
199493837,572749578,864711227,6481759,350381099,0.4052,0.6118,0.3784
203965131,572884739,864847951,6515725,350762217,0.4056,0.6123,0.3788
