selectDates,balanceCounts,totalCounts,annual_real_yield_list,annual_reward_list,annual_inflation_list
 3/30, 176000, 479395, 10.98, 16.91, 8.44
 3/31, 177996, 482115, 10.99, 16.92, 8.4
 4/1, 179612, 484469, 10.93, 16.86, 8.41
 4/2, 181212, 486948, 10.93, 16.86, 8.54
 4/3, 182799, 489358, 10.92, 16.85, 8.46
 4/4, 184447, 491860, 10.9, 16.83, 8.54
 4/5, 185931, 494224, 10.87, 16.8, 8.53
 4/6, 187527, 496774, 10.84, 16.77, 8.55
 4/7, 189175, 499216, 10.8, 16.73, 8.55
 4/8, 190564, 501429, 10.8, 16.73, 8.56
 4/9, 191971, 503569, 10.82, 16.75, 8.5
 4/10, 193517, 505980, 10.79, 16.72, 8.57
 4/11, 195343, 508676, 10.76, 16.69, 8.51
 4/12, 196988, 511225, 10.73, 16.66, 8.62
 4/13, 198602, 513597, 10.65, 16.58, 8.61
 4/14, 200244, 516128, 10.58, 16.51, 8.64
 4/15, 201691, 518475, 10.56, 16.49, 8.63
 4/16, 203260, 520786, 10.51, 16.44, 8.51
 4/17, 204691, 522924, 10.48, 16.41, 8.57
 4/18, 206110, 524944, 10.48, 16.41, 8.58
 4/19, 207443, 526890, 10.48, 16.41, 8.58
 4/20, 208699, 528791, 10.46, 16.39, 8.55
 4/21, 209896, 530626, 10.44, 16.37, 8.54
 4/22, 211128, 532450, 10.42, 16.35, 8.52
 4/23, 212282, 534159, 10.41, 16.34, 8.58
 4/24, 213614, 536062, 10.46, 16.39, 8.6
 4/25, 215019, 538117, 10.45, 16.38, 8.58
 4/26, 216405, 540137, 10.41, 16.34, 8.58
 4/27, 217832, 542266, 10.41, 16.34, 8.6
 4/28, 219218, 544215, 10.4, 16.33, 8.55
 4/29, 220565, 546133, 10.39, 16.32, 8.58
 4/30, 221996, 548120, 10.33, 16.26, 8.5
 5/1, 223361, 550086, 10.28, 16.21, 8.61
 5/2, 224714, 552151, 10.25, 16.18, 8.58
 5/3, 226032, 554149, 10.25, 16.18, 8.62
 5/4, 227273, 556084, 10.24, 16.17, 8.59
 5/5, 228472, 557995, 10.22, 16.15, 8.59
 5/6, 229816, 559955, 10.21, 16.14, 8.55
 5/7, 231012, 561741, 10.19, 16.12, 8.58
 5/8, 232305, 563605, 10.17, 16.1, 8.52
 5/9, 233827, 565658, 10.17, 16.1, 8.47
 5/10, 235048, 567339, 10.17, 16.1, 8.42
 5/11, 236232, 569098, 10.15, 16.08, 8.37
 5/12, 237537, 570947, 10.11, 16.04, 8.23
 5/13, 238902, 572911, 10.08, 16.01, 8.24
 5/14, 240351, 574790, 10.08, 16.01, 8.23
 5/15, 242291, 577210, 10.03, 15.96, 8.21
 5/16, 243909, 579269, 8.33, 14.26, 8.38
 5/17, 245282, 581108, 8.31, 14.24, 8.23
 5/18, 246700, 583094, 8.31, 14.24, 8.26
 5/19, 248088, 585033, 8.39, 14.32, 8.25
 5/20, 249590, 587111, 8.39, 14.32, 8.23
 5/21, 251071, 589262, 8.39, 14.32, 8.17
 5/22, 252587, 591373, 8.4, 14.33, 8.14
 5/23, 254148, 593577, 8.38, 14.31, 8.07
 5/24, 255702, 595693, 8.37, 14.3, 8.04
 5/25, 257174, 597752, 8.37, 14.3, 8.05
 5/26, 258757, 599891, 8.35, 14.28, 8.07
 5/27, 260070, 601742, 8.35, 14.28, 7.96
 5/28, 261488, 603745, 8.26, 14.19, 8.05
 5/29, 262967, 605767, 8.21, 14.14, 7.93
 5/30, 264513, 607863, 8.21, 14.14, 7.73
 5/31, 265890, 609818, 8.21, 14.14, 7.39
 6/1, 267285, 611760, 8.19, 14.12, 7.22
 6/2, 268668, 613646, 8.24, 14.17, 7.08
 6/3, 270056, 615615, 8.22, 14.15, 6.99
 6/4, 271377, 617452, 8.2, 14.13, 6.81
 6/5, 272757, 619402, 8.19, 14.12, 6.6
 6/6, 274311, 621534, 8.16, 14.09, 6.43
 6/7, 275826, 623595, 8.16, 14.09, 6.3
 6/8, 277194, 625602, 8.15, 14.08, 6.22
 6/9, 278634, 627883, 8.1, 14.03, 6.16
 6/10, 280112, 629984, 8.07, 14.0, 6.1
 6/11, 281545, 632021, 8.05, 13.98, 6.06
 6/12, 283030, 634027, 8.06, 13.99, 6.05
 6/13, 284633, 636224, 8.05, 13.98, 6.03
 6/14, 285983, 638114, 8.05, 13.98, 5.98
 6/15, 285789, 640069, 8.04, 13.97, 6.0
 6/16, 287091, 641992, 8.04, 13.97, 5.92
 6/17, 288302, 643945, 8.02, 13.95, 6.01
 6/18, 289523, 645849, 7.97, 13.9, 5.98
 6/19, 290709, 647644, 7.98, 13.91, 5.9
 6/20, 292099, 649648, 7.97, 13.9, 5.98
 6/21, 293324, 651379, 7.98, 13.91, 5.97
 6/22, 294549, 653140, 7.96, 13.89, 5.97
 6/23, 295815, 654966, 7.96, 13.89, 5.97
 6/24, 296961, 656615, 7.95, 13.88, 5.97
 6/25, 298079, 658823, 7.94, 13.87, 5.97
 6/26, 299306, 660546, 7.93, 13.86, 5.96
 6/27, 300699, 662373, 7.91, 13.84, 5.96
 6/28, 301924, 664049, 7.89, 13.82, 5.97
 6/29, 303159, 665681, 7.89, 13.82, 5.96
 6/30, 304555, 667354, 7.87, 13.8, 5.96
 7/1, 305744, 669021, 7.83, 13.76, 5.93
 7/2, 307028, 670857, 7.83, 13.76, 5.95
 7/3, 308347, 672643, 7.82, 13.75, 5.91
 7/4, 309878, 674669, 7.81, 13.74, 5.93
 7/5, 311264, 676534, 7.83, 13.76, 5.94
 7/6, 312512, 678293, 7.82, 13.75, 5.94
 7/7, 313810, 680037, 7.79, 13.72, 5.93
 7/8, 315159, 681981, 7.76, 13.69, 5.94
 7/9, 312854, 683273, 7.77, 13.7, 5.93
 7/10, 310014, 684522, 7.69, 13.62, 5.95
 7/11, 308100, 685636, 7.68, 13.61, 5.78
 7/12, 307129, 686821, 7.69, 13.62, 5.94
 7/13, 306237, 687994, 7.68, 13.61, 5.92
 7/14, 305666, 689256, 7.69, 13.62, 5.93
 7/15, 305153, 690566, 7.68, 13.61, 5.92
 7/16, 304715, 691679, 7.65, 13.58, 5.93
 7/17, 304490, 692778, 7.61, 13.54, 5.93
,,, 7.63, 13.56, 5.93
