,date,Regular Tx,Fees burned,Internal Tx,Internal Event (excluding Tx),Regular & Interal Tx,Regular & Interal Tx (MA7),Regular & Interal Tx (MA30),Fees burned (MA7),Fees burned (MA30)
70,2023-04-02,51891,323.7964962999999,17923,49902,69814,71268.0,67411.43333333333,279.69154435357126,222.85182381791657
71,2023-04-03,55932,601.7502669749998,23689,50352,79621,72897.71428571429,67987.8,333.228220205357,237.88113591666655
72,2023-04-04,59277,890.4230541624999,38249,50994,97526,77144.0,69166.1,431.1082453089285,262.7240998899999
73,2023-04-05,57733,634.2963642249998,32931,51011,90664,80738.71428571429,69914.33333333333,494.069395242857,276.63380807333317
74,2023-04-06,53550,429.4414724874999,19045,50180,72595,82031.14285714286,70142.33333333333,533.6879396999999,283.8674887237499
75,2023-04-07,54076,389.7660750249999,21151,50646,75227,82700.85714285714,70407.93333333333,555.7134372196427,288.4294876449998
76,2023-04-08,50049,263.68387808749986,17753,50027,67802,79035.57142857143,70444.03333333334,504.7368010374999,290.3792835658332
77,2023-04-09,50297,289.3842268124999,15606,50060,65903,78476.85714285714,70409.1,499.82076253928557,292.76347998708314
78,2023-04-10,51459,203.52745218749988,16601,50197,68060,76825.28571428571,70366.53333333334,442.9317889982141,290.83450711208314
79,2023-04-11,50619,221.41870861249987,16409,50481,67028,72468.42857142857,70403.36666666667,347.3597396339284,291.83896818666653
80,2023-04-12,50205,202.1851115374999,15736,50096,65941,68936.57142857143,70211.8,285.6295606785713,290.76799904791653
81,2023-04-13,50584,294.01944563749987,15643,50392,66227,68026.85714285714,70027.9,266.283556842857,290.8378217749999
82,2023-04-15,50641,265.7271890124999,19981,51251,70622,67369.0,70130.4,248.56371598392843,291.89901391541656
83,2023-04-16,50932,402.0174597124999,21345,50265,72277,68008.28571428571,70582.3,268.3256562160713,300.93019557791655
84,2023-04-17,54171,217.23394299999975,20955,51412,75126,69325.85714285714,70848.26666666666,258.0184728142856,300.6490397445832
85,2023-04-18,51166,295.53149383749985,18678,50972,69844,69580.71428571429,71014.2,271.16190733571415,304.29725824124984
86,2023-04-19,51505,343.33949543749986,19266,50007,70771,70115.42857142857,71101.33333333333,288.57916259642843,306.5136298120832
87,2023-04-20,50514,277.1279436249999,19043,50810,69557,70632.0,71046.76666666666,299.2852814660713,308.30397555083323
88,2023-04-21,51638,261.90381214999985,16616,51006,68254,70921.57142857143,71032.56666666667,294.6973338249999,308.94426889124986
