to,Fees burned,Regular Tx,to_def,Internal Tx,Internal Event (excluding Tx),group
cx44250a12074799e26fdeee75648ae47e2cc84219,118.0085500375,13,balanced_governance,0,0,Balanced
hx0c84a2356e5967a93da9e2c0ca65242eefa474ee,0.015,12,unknown_hx,0,0,unknown_hx
hxbdd85cf0362c16689bfc82003425d4ee67afee68,0.015,12,unknown_hx,0,0,unknown_hx
hx548ad28ef8d6caed7f27f6001fb7a654ad8cca40,0.015,12,unknown_hx,0,0,unknown_hx
hxb7f3d4bb2eb521f3c68f85bbc087d1e56a816fd6,0.015,12,crypto.com_hot_01,0,0,crypto.com_hot_01
hx6e0b01074dc584a5cd8d97b6f2fd96f21750a4b9,0.015,12,unknown_hx,0,0,unknown_hx
hx922bf1e70d5be1e17576cd39ebb4f1152710b306,0.015,12,unknown_hx,0,0,unknown_hx
hx06efa9167ece33af37f7153dc53bce2775f812f2,0.01375,11,unknown_hx,0,0,unknown_hx
hxb602f5f61806b955e613e883e3805d58af4bb130,0.01375,11,unknown_hx,0,0,unknown_hx
hxe98b81864b892cead5dccd1fc010332eccff8cb9,0.01375,11,unknown_hx,0,0,unknown_hx
cx6139a27c15f1653471ffba0b4b88dc15de7e3267,2.0303511499999995,11,gangstabet_token,182,0,GangstaBet
hx039399188d68f98e92d95d1395e5abd15e5cc8da,0.01375,11,unknown_hx,0,0,unknown_hx
hx42554c9b949dcf420bb384476adb35b5b0d60e48,0.01375,11,unknown_hx,0,0,unknown_hx
hx10b165eac2645b86fe3d89c05a91827e38cf8cdb,0.0125,10,unknown_hx,0,0,unknown_hx
cxfe94530ee0d159db3e5b7dcffbcd0dfb360075c0,0.7707671875,10,Liquid Finance Staked ARCH,70,0,Liquid Finance Staked ARCH
hx3e232428bc4fa451f6417a1b944185f4e2a35a5f,0.0125,10,unknown_hx,0,0,unknown_hx
hx46452183ebd0e3dcabe41f1a002ba8b5174789cb,0.0125,10,unknown_hx,0,0,unknown_hx
hx6e3c2f11dddb5e66b40637f72ca9d20ad3ca137f,0.0125,10,unknown_hx,0,0,unknown_hx
hx31748de2cef53a86dff63e144eeff0f698b2138b,0.01125,9,unknown_hx,0,0,unknown_hx
hx07165c58ee8bafd5a9db5dd3ca11df12c99722e0,0.01125,9,unknown_hx,0,0,unknown_hx
hx44c61d86f2256dedd0fb7833f210941970156972,0.01125,9,unknown_hx,0,0,unknown_hx
cx4cdfb47cc8a4e39a72220bcd74dc752a30af8b74,0.3817967874999995,9,ICON Network-owned Liquidity,27,6,ICON Network-owned Liquidity
