,date,Regular Tx,Fees burned,Internal Tx,Internal Event (excluding Tx),Regular & Interal Tx,Regular & Interal Tx (MA7),Regular & Interal Tx (MA30),Fees burned (MA7),Fees burned (MA30)
64,2023-02-18,49742,153.50898792499987,13375,49721,63117,65301.28571428572,69099.43333333333,182.7410221535713,238.60566483708317
65,2023-02-19,50325,137.6383828249999,14170,50205,64495,65304.0,68943.06666666667,180.39478994642846,237.08656251333318
66,2023-02-20,52111,390.5399363374999,18273,51535,70384,66089.0,68348.03333333334,210.2923482999999,219.1025105845832
67,2023-02-21,51378,241.14161494999988,17722,50768,69100,66509.28571428571,68113.13333333333,215.15233423749987,214.90089151999982
68,2023-02-22,50663,183.18067579999985,14189,50699,64852,66158.14285714286,67963.0,209.21042320714272,212.05330226833317
69,2023-02-23,52978,658.2393300124999,26940,50653,79918,68147.85714285714,67527.7,276.37219208214276,209.68422845208318
70,2023-02-24,51322,274.7320771874999,19470,50519,70792,68951.14285714286,67448.73333333334,291.28300071964276,209.75290133624986
71,2023-02-25,50718,258.37632536249987,16933,49814,67651,69598.85714285714,67577.6,306.2640489249999,212.51663404458318
72,2023-02-26,49458,198.27526993749987,16498,51210,65956,69807.57142857143,67454.16666666667,314.9264613696427,212.14955909374984
73,2023-02-27,51935,211.10271778749984,17600,50964,69535,69686.28571428571,67271.1,289.292573005357,213.6967586154165
74,2023-02-28,52230,283.2538157249998,20067,51562,72297,70143.0,67244.2,295.3086016874999,216.36612370874985
75,2023-03-01,50595,239.62178098749987,15100,49920,65695,70263.42857142857,66970.73333333334,303.37161671428555,215.95746518833317
76,2023-03-02,50347,234.69256993749988,16006,50803,66353,68325.57142857143,66878.66666666667,242.86493670357126,217.18891096624984
77,2023-03-03,49686,210.6000217999999,14979,50225,64665,67450.28571428571,66683.26666666666,233.70321450535698,217.78973951374985
78,2023-03-04,49259,150.8709040124999,13071,49630,62330,66690.14285714286,66538.8,218.34529716964272,214.9986710870832
79,2023-03-05,48950,145.1341349624999,13227,49943,62177,66150.28571428571,66434.13333333333,210.75370645892846,215.08316545458322
80,2023-03-06,51488,217.00511872499985,16729,50750,68217,65962.0,66616.33333333333,211.59690659285704,217.8653055158332
81,2023-03-07,50385,212.4310529749999,15370,50358,65755,65027.42857142857,66516.26666666666,201.47936905714275,217.1179573995832
82,2023-03-08,50457,252.9061073874999,16802,51290,67259,65250.857142857145,66347.6,203.37712997142845,216.62931750416652
83,2023-03-09,50829,205.19000046249985,15890,50388,66719,65303.142857142855,66429.16666666667,199.16247718928557,218.65427490999986
84,2023-03-10,50642,217.8583341749999,16309,50635,66951,65629.71428571429,66531.93333333333,200.19937895714276,220.30341133458322
85,2023-03-11,51589,261.39663843749986,17748,49911,69337,66630.71428571429,66693.16666666667,215.98876958928557,223.42187436708318
86,2023-03-12,49516,191.2848763749999,16407,50066,65923,67165.85714285714,66773.2,222.58173264821417,225.3008191033332
87,2023-03-13,52377,234.31418569999985,19311,51161,71688,67661.71428571429,67171.93333333333,225.05445650178558,229.63243423124987
88,2023-03-14,51395,291.92476382499984,20349,51295,71744,68517.28571428571,67414.2,236.41070090892845,234.22785941624986
89,2023-03-15,50338,233.89142479999987,17209,50782,67547,68558.42857142857,67502.8,233.69431768214275,235.98233931416652
90,2023-03-16,50225,131.08200983749987,8495,44896,58720,67415.71428571429,67254.86666666667,223.10746187857129,233.44768252916654
91,2023-03-17,50525,225.66861799999987,16622,50075,67147,67443.71428571429,67249.43333333333,224.22321671071413,233.47750136208322
92,2023-03-18,49385,186.08493893749989,15481,50676,64866,66805.0,67211.96666666666,213.46440249642845,233.41010106374986
93,2023-03-19,50113,276.84834831249987,18044,50093,68157,67124.14285714286,67311.56666666667,225.687755630357,236.95983211666652
94,2023-03-20,52235,223.4175714624998,18959,51098,71194,67053.57142857143,67580.8,224.13109645357127,239.2901182345832
95,2023-03-21,51026,242.69501193749988,17654,50823,68680,66615.85714285714,67720.3,217.09827475535704,242.7920058716665
96,2023-03-22,50463,173.75562304999988,14275,50433,64738,66214.57142857143,67532.1,208.50744593392847,235.56586209541652
97,2023-03-23,49957,171.2049493999999,13726,49795,63683,66923.57142857143,67351.53333333334,214.23929444285702,233.23463991041655
98,2023-03-24,50319,176.1502507624999,14750,50492,65069,66626.71428571429,67358.76666666666,207.165241980357,233.00029240916652
99,2023-03-25,49080,140.4062806874999,12729,49595,61809,66190.0,66755.13333333333,200.63971937321415,215.73919076499988
100,2023-03-26,49484,166.1927598374999,14273,50536,63757,65561.42857142857,66520.63333333333,184.8317781624999,212.12121351999986
101,2023-03-27,51332,226.99353601249987,16881,50477,68213,65135.57142857143,66539.36666666667,185.3426302410713,211.0751205416665
102,2023-03-28,50806,205.26287843749984,16996,51105,67802,65010.142857142855,66600.9,179.99518259821414,211.30804082499986
103,2023-03-29,50250,193.56831468749988,15251,50187,65501,65119.142857142855,66466.43333333333,182.825567117857,210.72356072166656
104,2023-03-30,49924,152.11166128749989,13624,50207,63548,65099.857142857145,66174.8,180.09795453035704,206.35215557374985
105,2023-03-31,51385,235.58759238749988,19154,51352,70539,65881.28571428571,66336.26666666666,188.58900333392847,206.21768262041653
106,2023-04-01,58658,620.5203313624999,34801,50696,93459,70402.71428571429,67239.8,257.1767248589285,219.07860800124988
107,2023-04-02,51891,323.7964962999999,17923,49902,69814,71268.0,67411.43333333333,279.69154435357126,222.85182381791657
108,2023-04-03,55932,601.7502669749998,23689,50352,79621,72897.71428571429,67987.8,333.228220205357,237.88113591666655
109,2023-04-04,59277,890.4230541624999,38249,50994,97526,77144.0,69166.1,431.1082453089285,262.7240998899999
110,2023-04-05,57733,634.2963642249998,32931,51011,90664,80738.71428571429,69914.33333333333,494.069395242857,276.6338080733332
111,2023-04-06,53550,429.4414724874999,19045,50180,72595,82031.14285714286,70142.33333333333,533.6879396999999,283.8674887237499
112,2023-04-07,54076,389.7660750249999,21151,50646,75227,82700.85714285714,70407.93333333333,555.7134372196427,288.4294876449998
113,2023-04-08,50049,263.68387808749986,17753,50027,67802,79035.57142857143,70444.03333333334,504.7368010374999,290.3792835658332
114,2023-04-09,50297,289.3842268124999,15606,50060,65903,78476.85714285714,70409.1,499.82076253928557,292.7634799870832
115,2023-04-10,51459,203.52745218749988,16601,50197,68060,76825.28571428571,70366.53333333334,442.9317889982141,290.83450711208314
116,2023-04-11,50619,221.41870861249987,16409,50481,67028,72468.42857142857,70403.36666666667,347.3597396339284,291.83896818666653
117,2023-04-12,50205,202.1851115374999,15736,50096,65941,68936.57142857143,70211.8,285.6295606785713,290.76799904791653
118,2023-04-13,50584,294.01944563749987,15643,50392,66227,68026.85714285714,70027.9,266.283556842857,290.83782177499984
119,2023-04-15,50641,265.7271890124999,19981,51251,70622,67369.0,70130.4,248.56371598392843,291.89901391541656
120,2023-04-16,50932,402.0174597124999,21345,50265,72277,68008.28571428571,70582.3,268.3256562160713,300.93019557791655
121,2023-04-17,54171,217.23394299999975,20955,51412,75126,69325.85714285714,70848.26666666666,258.0184728142856,300.6490397445832
122,2023-04-18,51166,295.53149383749985,18678,50972,69844,69580.71428571429,71014.2,271.16190733571415,304.29725824124984
123,2023-04-19,51505,343.33949543749986,19266,50007,70771,70115.42857142857,71101.33333333333,288.57916259642843,306.5136298120832
124,2023-04-20,50514,277.1279436249999,19043,50810,69557,70632.0,71046.76666666666,299.2852814660713,308.30397555083323
125,2023-04-21,51638,261.90381214999985,16616,51006,68254,70921.57142857143,71032.56666666667,294.6973338249999,308.94426889124986
126,2023-04-22,50377,234.6344604249999,15928,49922,66305,70304.85714285714,71084.8,290.255515455357,310.97356347041654
127,2023-04-23,49048,272.0649965999999,15423,50485,64471,69189.71428571429,71111.06666666667,271.690877867857,314.33556504374985
128,2023-04-24,52597,224.29990104999985,17526,51141,70123,68475.0,71279.53333333334,272.70030044642846,315.9405533866665
129,2023-04-25,51665,248.44803153749987,17097,50917,68762,68320.42857142857,71511.3,265.97409154642844,319.54194508166654
130,2023-04-26,50374,251.83257758749988,17035,51058,67409,67840.14285714286,71633.03333333334,252.90167471071416,322.39660567333317
131,2023-04-27,51271,241.64472974999987,17252,50590,68523,67692.42857142857,71643.36666666667,247.83264415714274,322.88497879791646
132,2023-04-28,49662,185.7131042499999,14152,49841,63814,67058.14285714286,71510.43333333333,236.9482573142856,322.2333196583332
133,2023-04-29,48695,118.74177661249988,11625,49456,60320,66203.14285714286,71337.73333333334,220.3921596267856,319.73910172249987
134,2023-04-30,48688,139.0035119749999,12043,49655,60731,65668.85714285714,71243.83333333333,201.38337610892842,319.30216341208325
135,2023-05-01,50149,181.80381258749983,16165,50316,66314,65124.71428571428,71103.0,195.3125063285713,317.50937075208316
136,2023-05-02,50613,241.39148858749988,15180,50089,65793,64700.57142857143,70180.8,194.30442876428557,304.8717426595832
137,2023-05-03,49709,164.9547227124999,13155,49787,62864,64051.28571428572,69949.13333333333,181.89330663928558,299.57701687333326
138,2023-05-04,48723,222.9305357124999,12880,49636,61603,63062.71428571428,69348.53333333334,179.21985034821415,286.94969249791654
139,2023-05-05,48856,146.3229604749999,12771,49718,61627,62750.28571428572,68151.9,173.59268695178562,262.14635604166654
140,2023-05-07,49292,198.17574563749992,11910,52248,61202,62876.28571428572,67169.83333333333,184.94039681249987,247.6090020887499
141,2023-05-08,51427,279.2591251624998,17251,49826,68678,64011.57142857143,67039.26666666666,204.97691298214275,242.6029238445832
142,2023-05-09,49559,310.7954923624999,14697,49682,64256,63717.57142857143,66673.56666666667,223.40429580714274,239.97057108916653
143,2023-05-10,50538,266.8526326624999,17308,50025,67846,64010.857142857145,66675.03333333334,227.0416021035713,240.07619624166654
144,2023-05-11,53933,223.47538631249984,14617,49908,68550,64823.142857142855,66763.26666666666,235.40169690357132,237.87923489166653
145,2023-05-12,48461,281.2946625124999,13393,49407,61854,64859.0,66556.4,243.7394293035713,240.4714752358332
146,2023-05-13,47839,124.30727108749991,11755,49898,59594,64568.57142857143,66308.6,240.59433081964272,237.2344273183332
147,2023-05-14,47879,157.6946609249999,13338,49949,61217,64570.71428571428,66151.13333333333,234.811318717857,235.75141229791654
148,2023-05-15,50625,172.98566774999986,15142,50101,65767,64154.857142857145,66135.8,219.62939623035706,231.71695303499985
149,2023-05-16,48719,209.34902677499988,14445,50094,63164,63998.857142857145,65887.2,205.13704400357133,229.83768096041655
150,2023-05-17,49051,187.4096312374999,14288,49985,63339,63355.0,65589.26666666666,193.78804379999988,222.68408667791653
151,2023-05-18,49016,194.84910124999988,15061,50390,64077,62716.0,65220.96666666667,189.69857450535704,221.93792528624988
152,2023-05-19,48948,170.99537811249988,13886,50272,62834,62856.0,64987.3,173.9415338767856,217.7867214287499
153,2023-05-20,47953,163.5669655374999,11632,49320,59585,62854.71428571428,64614.433333333334,179.550061655357,211.79430376541657
154,2023-05-21,48186,184.3774761249999,12182,50301,60368,62733.42857142857,64308.13333333333,183.36189239821417,208.70262151541652
155,2023-05-22,50023,181.29427428749983,15887,50236,65910,62753.857142857145,64230.0,184.5488361892856,206.01563691999988
156,2023-05-23,50178,343.42904236249984,18618,51136,68796,63558.42857142857,64313.03333333333,203.70312413035703,209.6421229845832
157,2023-05-24,49344,241.95706356249983,14918,49779,64262,63690.28571428572,64306.066666666666,211.49561446249987,208.63852521666652
158,2023-05-25,49537,155.58476587499987,13931,49567,63468,63603.28571428572,64084.23333333333,205.88642369464273,206.3480207108332
159,2023-05-26,49232,180.6872657624999,14397,50103,63629,63716.857142857145,63913.13333333333,207.27097907321416,204.08932851833322
160,2023-05-27,49533,183.11908384999987,14987,50079,64520,64421.857142857145,63816.833333333336,210.06413883214273,201.7988787270832
161,2023-05-28,49272,196.95455014999987,15064,50019,64336,64988.71428571428,63677.26666666667,211.860863692857,200.3092060737499
162,2023-05-29,49287,148.16491587499988,13996,49798,63283,64613.42857142857,63659.566666666666,207.128098205357,199.05759979458324
163,2023-05-30,51407,183.05719493749984,17255,50113,68662,64594.28571428572,63937.63333333333,184.21783428749987,201.20144707208323
164,2023-05-31,42204,124.66497557499991,8953,39948,51157,62722.142857142855,63618.5,167.46182171785702,200.72349585874989
165,2023-06-01,50073,155.64592892499988,14576,49699,64649,62890.857142857145,63563.0,167.47055929642846,199.85156640333318
166,2023-06-02,49871,146.89318869999988,13291,49538,63162,62824.142857142855,63475.3,162.6428340017856,196.70162307374986
167,2023-06-03,49497,142.68896938749987,13620,49669,63117,62623.71428571428,63483.73333333333,156.86710336428558,195.95943129624987
168,2023-06-04,49564,119.72110871249988,12431,49354,61995,62289.28571428572,63496.8,145.83375458749987,192.51911706291654
