delegator,biweek,how_many_prep_voted,raffle_tickets
hxe435f4d411b38115de401ab748d78aefb901fd8b,2020-45 & 2020-46,11,1
hxda2f396c8f1a50df62b23c1c3d88342ce6939140,2020-45 & 2020-46,11,1
hxdb4cecb5d86ca0cadbcbe6adad83eb5cd28154a3,2020-45 & 2020-46,11,1
hxf015f787653f3d0c61d49e451e0b987bf487a86b,2020-45 & 2020-46,11,1
hx09af69310d44f5b75fd966e4df4ae4a659797fed,2020-45 & 2020-46,11,1
hx62471b4843bea5f543c9895220b8ba99e1c24846,2020-45 & 2020-46,11,1
hxf277418952673e86896d06fc69e83730daeb620f,2020-45 & 2020-46,11,1
hx096edfdfcca9228b0dfc9eb1ab0667d862de6e1d,2020-45 & 2020-46,11,1
hx03715c57dd9f82177e8a8cdd37abc58c2adac56a,2020-45 & 2020-46,11,1
hxf3fd1a943fc432579c01b3b7cc7ca18276f347f9,2020-45 & 2020-46,11,1
hxf46bd1f322efcf99b24c037123b5037ac7986d82,2020-45 & 2020-46,11,1
hxf754a10fab77d038fcaa4d1bdae2f4a602c22601,2020-45 & 2020-46,11,1
hx642ab198ea3710f4215b5dc9d96c8f1f788114da,2020-45 & 2020-46,11,1
hx644f54f6de6e3b7fc6b7d77e82a57c2273bc0e4d,2020-45 & 2020-46,11,1
hxf96e48d75ef1b63808f23d8ab4f11314c2abc749,2020-45 & 2020-46,11,1
hxfa248bd6e8c1257c55b5c7923eb0e2ce54e3fbcc,2020-45 & 2020-46,11,1
hxfc7e2968bdb38ddfea72701660f981868cb1c614,2020-45 & 2020-46,11,1
hx64e2ed14e6356f8c8385a1335bf301746ef5858a,2020-45 & 2020-46,11,1
hx0a636c959e4b43238340a653294cb64bc124be70,2020-45 & 2020-46,11,1
hxee289e9b7f9dae26ee3cdebd8e7a2468ec89dffa,2020-45 & 2020-46,11,1
hxedd3c4a4dd9e236f02e785998007875619dafedf,2020-45 & 2020-46,11,1
hxe274e9b3202dc7548e068e57e040047e2b69e041,2020-45 & 2020-46,11,1
