delegator,week,how_many_prep_voted,raffle_tickets
hx250858a62cd9fec535459cd61ca7b1d89984c8a9,2020-41,15,1
hx9624f97052215bc50da22b8b0c3d68ddf9acfe34,2020-41,15,1
hxf819c5e1cc4b3e48aab63cacf87b2f723d01ec7d,2020-41,15,1
hxbcdd18151cbe679fe638e073e4b8aa3d963f9995,2020-41,15,1
hx91449e6edfd99af685c9c376024db63fca65e236,2020-41,15,1
hxa4223229cf2bacc2fbb861563bb6e2b9cbc56a3e,2020-41,15,1
hx00d85a59cfacc2a44e924f4a7892271145747c60,2020-41,14,1
hxbae2c2c3b5461d945ea9d040c8287ab11d524c95,2020-41,14,1
hxece32238259e951b9931aee279d0d81e43a26990,2020-41,14,1
hxfdb805565bde3986d4ef2ef22ddf1094e4019796,2020-41,14,1
hx5b038a80b468ed9b581f666bbcd01316f4782ba3,2020-41,14,1
hx5949b6be475b9d1417b1330ad55e9308d5e05bfb,2020-41,14,1
hxf21441902d03b9d6d761f9522a3e73edb86309b6,2020-41,14,1
hxc884dc0d06b9ede780f563eef6f0a788e831489e,2020-41,14,1
hxb163cdee7a21a16177b9a1b150fc66717320a934,2020-41,14,1
hx17de469300d89a6c725084947f753589ca621e87,2020-41,14,1
hxb38c61724a537235f9ce7b2fa1e498ce6b0bd0f9,2020-41,14,1
hx23957e7cfd6ad721f240e7fbb395e0d765fb9b36,2020-41,14,1
hx237f51a6f432458553cc22e5a2b82628aa2c31ab,2020-41,14,1
hxe3dd8785da38941b2d6893b027502a586be5edb1,2020-41,14,1
hx4816f2d7e86cb5b5d39c6cba12ea549ba2586f00,2020-41,14,1
hx1f8527706896d332d6c8437dff1c51590c72efa7,2020-41,14,1
hx6b91200ebf1df682e2ebeb0279b1bdb611d66257,2020-41,13,1
hx864c5eec5eccb203772a322cd711ae7f5c8dec77,2020-41,13,1
hx1982db9a5a0ea04efb3a1d53648fc7143c429d2e,2020-41,13,1
hx1858bb7d884b5a6a74ceaa63eca015ce184bc726,2020-41,13,1
hx2835a19c583698904afd1c77d99112a5b840e032,2020-41,13,1
hx1817d865895f7c394891ab0ac15ed3cdb781611d,2020-41,13,1
hx1584db5872b6d7e24b57f73fd3b9c5d516db3ef8,2020-41,13,1
hx261bef2e1e9abac57941b8f45541afa25a9eacbb,2020-41,13,1
hxce773241e990107283650688785b259ce7afc91a,2020-41,13,1
hxd65454fc832f4257d9a786e41222ed03ae05edc1,2020-41,13,1
hx49df21b082eb120b227d11cc127da13f1f085616,2020-41,13,1
hx614e597a1577f66fcd8988f88170de4c619a0573,2020-41,13,1
hx58b45678ec9a9087293617d95bc3f69e5b036f59,2020-41,13,1
hx3fe703490d6f0b30bf1e0aaf96bc7050597a943b,2020-41,13,1
hxc503ebb5a1d72d511e8924e9023437c82fee95b2,2020-41,13,1
hxb28391ccbbe4922c14614f844059d229c27a4809,2020-41,13,1
hx7616d8e5a76ac50c883393bd158df54578b61e73,2020-41,13,1
hx6654384862ba2431c12575fd98e02a1ebe500d31,2020-41,13,1
hxb819787d46162459576827b474cf816f16d69966,2020-41,13,1
hxa7b3f39a318d7242dc06908deda20676609d2630,2020-41,13,1
hxfcfa8585fe2e5a7d96b154b54b697bb477b4fe30,2020-41,12,1
hxb106e5baab67f48c06149832a0a4baee97c9362a,2020-41,12,1
hxed5e0d1bade8dc01084d0a68e0d370c41c69465d,2020-41,12,1
hxc071ae3c92882a051ab328042e12a666419fe58a,2020-41,12,1
hxe79696489e108bc2a0b2f9253a241815179193e9,2020-41,12,1
hxc54f2d3584b149ece803993969c73fb31bde304e,2020-41,12,1
hxc671a96e9372e17a95f075e60c10d16daa6fa041,2020-41,12,1
hxdeb908625fcab32473b9ab4798fb140bdd290324,2020-41,12,1
hx9cc63536e92722dab4c1f8cf146348d76d08acab,2020-41,12,1
hx9824d726914f87720e579332e0baa24ee1543277,2020-41,12,1
hxfe70919b1b89b4017533a8dbe9de3d24045088ae,2020-41,12,1
hx3ee1c2d14a10919cdda370504dfd95758135e1c1,2020-41,12,1
hx460ece412e413fb9a91b80375289153c67b1c41c,2020-41,12,1
hx5431f4aa69a654d2d355b4cac7fa1e65865fb1a1,2020-41,12,1
hx5c38a37688db8d254db46272aa08b21e88f902c0,2020-41,12,1
hx5e2908097689627b16532de3047fc61bc8ee726c,2020-41,12,1
hx60f200b8f2855d176ce080f19ec435da821c200c,2020-41,12,1
hx21633046abd1d663d236f9adb0adf4bdc340b8c0,2020-41,12,1
hx6e0a36493b252832790bcb9517fefc691a9840c3,2020-41,12,1
hx7161b1f236e9f8541c00b8b79d8b549cbe2f29be,2020-41,12,1
hx75f6fa7af0f4fe03813399399996fedb050b243e,2020-41,12,1
hx01aebdc1ef632abc8f6084bd9e2f85304a832cd2,2020-41,12,1
hx202d64a9642337af9b575825aa602eb16a436285,2020-41,12,1
hx7c3cc3611ee50a8db0362a16abccbd208b70b22a,2020-41,12,1
hx7849e4405707a7ed86a3d24f8ff4cf45cde3587d,2020-41,12,1
hx574cd24f06b6d991e00424193e76f3113897364c,2020-41,12,1
hx36dd546d61fbc6ac7f7b1af2f7b4776eacb0b326,2020-41,12,1
hx14d6a3fbfddf0ac18225bb08f836139f05c1d7ad,2020-41,12,1
hx304793fef6c301c7b01c4d6918b60aaae6c3ee19,2020-41,12,1
hx86224a68a3a332e7f334efa0fe8bd13bbac28d70,2020-41,12,1
hx442f62bda2157037af839c7075f43f16b2d4cc91,2020-41,12,1
hx303aaec9df00dccdca686c9730f7d08453a3025b,2020-41,12,1
hxdd6b499ebf126dd89f89f32179cd879fee310eda,2020-41,11,1
