biweek,delegator,sum_votes,how_many_prep_voted,raffle_tickets,total_votes,total_votes,total_votes,total_votes,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep
,,,,,min,max,median,mean,min,max,median,mean
2020-45 & 2020-46,hx592e7959a5c0070cf51f18b82390c2553f0f767a,13816.195699999997,18,1,410.2973999999997,1770.8528000000001,683.81,767.5664277777776,2.96968%,12.81722%,4.94934%,5.55556%
2020-45 & 2020-46,hxc30aabbc541d3ad4019aa5675fc553549852130e,8788.5989,17,1,188.5989,1000.0,500.0,516.976405882353,2.14595%,11.37838%,5.68919%,5.88235%
2020-45 & 2020-46,hx00d85a59cfacc2a44e924f4a7892271145747c60,6250.000000000001,17,1,30.7824,3620.0000000000005,114.923,367.64705882352945,0.49252%,57.92000%,1.83877%,5.88235%
2020-45 & 2020-46,hxa4556d928cfabb02caa1f07078f579638b5d4357,13353.070109482156,17,1,45.351529722597604,3014.4885214823735,365.9875569930538,785.4747123224797,0.33963%,22.57525%,2.74085%,5.88235%
2020-45 & 2020-46,hx5203a1c4db4ce125e32d81205a8bff763ff579f1,80551.74740643072,17,1,331.1250163557178,16384.6282773845,3587.0760078539997,4738.3380827312185,0.41107%,20.34050%,4.45313%,5.88235%
2020-45 & 2020-46,hx6c6cbea1f364be1be5a56f9d5b5675a3f9828366,20271.0552,17,1,0.0,4061.2,906.922,1126.1697333333332,0.00000%,20.03448%,4.47398%,5.55556%
2020-45 & 2020-46,hx91b9df44a0679a85ff83199b5f66529a45bf2dbb,3012.5092,17,1,120.6441,427.2504,147.9242,177.20642352941175,4.00477%,14.18254%,4.91033%,5.88235%
2020-45 & 2020-46,hx87455c62c2ef3f37496fb2fef0df86fdadada87c,164630.1993,17,1,4630.1993,10000.0,10000.0,9684.129370588236,2.81248%,6.07422%,6.07422%,5.88235%
2020-45 & 2020-46,hx53c974aa02514313dc3e5371d3703051e4825f3b,87708.29370000001,16,1,2208.2937,8500.0,5500.0,5481.768356250001,2.51777%,9.69122%,6.27079%,6.25000%
2020-45 & 2020-46,hx91449e6edfd99af685c9c376024db63fca65e236,3013.5228999999995,16,1,100.88709999999946,359.46060000000034,203.0831000000001,188.34518124999997,3.34781%,11.92825%,6.73906%,6.25000%
2020-45 & 2020-46,hx808c36535f80aa585c3431d7d0eba102ed34cb47,24135.0737,16,1,27.2581,2422.0643,1685.85555,1508.44210625,0.11294%,10.03545%,6.98509%,6.25000%
2020-45 & 2020-46,hxa4223229cf2bacc2fbb861563bb6e2b9cbc56a3e,1834.4403999999997,16,1,100.37879999999996,243.05169999999998,105.1753,114.65252499999998,5.47190%,13.24936%,5.73337%,6.25000%
2020-45 & 2020-46,hx13c863c2f8839574d795c3c6cce1aab0bd4fcae4,124874.2638,16,1,0.0,29613.406,3917.1542999999997,7345.544929411764,0.00000%,23.71458%,3.13688%,5.88235%
2020-45 & 2020-46,hxb28391ccbbe4922c14614f844059d229c27a4809,900.3896999999998,16,1,0.9598,134.6412,43.08204999999999,56.27435624999999,0.10660%,14.95366%,4.78482%,6.25000%
2020-45 & 2020-46,hx1a3690342bc1fbabae3362b56059d17b69b40915,3960.0,16,1,200.0,960.0,200.0,247.5,5.05051%,24.24242%,5.05051%,6.25000%
2020-45 & 2020-46,hxc662c03f4bdd3e0eac3782ee0f6ec9f545a2c5d3,61664.433000000005,15,1,80.2783,9028.0709,2915.5376000000006,4110.9622,0.13019%,14.64065%,4.72807%,6.66667%
2020-45 & 2020-46,hxf819c5e1cc4b3e48aab63cacf87b2f723d01ec7d,42414.0686,15,1,1000.0,4500.0,2800.0,2827.604573333333,2.35771%,10.60969%,6.60158%,6.66667%
2020-45 & 2020-46,hx250858a62cd9fec535459cd61ca7b1d89984c8a9,537.1549,15,1,4.178999999999999,50.0,50.0,35.81032666666667,0.77799%,9.30830%,9.30830%,6.66667%
2020-45 & 2020-46,hxdd3e1988cb579476efba6206819f7cd6af43f38d,63591.693400000004,15,1,4000.0,5000.0,4000.0,4239.446226666667,6.29013%,7.86266%,6.29013%,6.66667%
2020-45 & 2020-46,hx602d61e653c7bc72581e076ede13a18f5ab2f1b0,13155.135300000002,15,1,102.16489999999999,2370.6985,786.4944,877.0090200000001,0.77662%,18.02109%,5.97861%,6.66667%
2020-45 & 2020-46,hx9c9d5309ef3381e7e5d9a79c11835c0b5636abcc,5964.918200000001,15,1,298.6125,1075.4675,306.9262,397.6612133333334,5.00615%,18.02988%,5.14552%,6.66667%
2020-45 & 2020-46,hxa4ba1bcf183f051844c278796f47112e8805d229,2325.3606,15,1,116.26799999999999,697.6081,116.26799999999999,155.02403999999999,5.00000%,30.00000%,5.00000%,6.66667%
2020-45 & 2020-46,hx39aa53c5d86727d19c5f6b4a1e1ad408399e797c,18580.6085,15,1,1143.8113,1575.8400000000001,1201.1655,1238.7072333333333,6.15594%,8.48110%,6.46462%,6.66667%
2020-45 & 2020-46,hx864c5eec5eccb203772a322cd711ae7f5c8dec77,11787.3602,15,1,16.2402,1649.8154,819.4853,785.8240133333333,0.13778%,13.99648%,6.95224%,6.66667%
2020-45 & 2020-46,hx8816f9995eb3bba5c93a9f954f36e816b9f1df8f,1294.1159000000002,15,1,5.3816,257.4011,53.534,86.27439333333335,0.41585%,19.89011%,4.13672%,6.66667%
2020-45 & 2020-46,hx9a12c867e8bb3d3e731eec1334bbc43f88ca4fad,10381.512499999999,15,1,441.3319,1551.7909,622.9145,692.1008333333333,4.25113%,14.94764%,6.00023%,6.66667%
2020-45 & 2020-46,hx23957e7cfd6ad721f240e7fbb395e0d765fb9b36,6927.3682,15,1,21.8007,1516.8606,399.9999,461.82454666666666,0.31470%,21.89664%,5.77420%,6.66667%
2020-45 & 2020-46,hxbcdd18151cbe679fe638e073e4b8aa3d963f9995,11053.684100000002,15,1,12.919,1312.304600000002,1021.2218,736.9122733333335,0.11688%,11.87210%,9.23875%,6.66667%
2020-45 & 2020-46,hx9624f97052215bc50da22b8b0c3d68ddf9acfe34,60800.881100000006,15,1,3783.8032,4260.1058,4159.541300000001,4053.392073333334,6.22327%,7.00665%,6.84125%,6.66667%
2020-45 & 2020-46,hxbae2c2c3b5461d945ea9d040c8287ab11d524c95,165.02989999999946,14,1,1.0,123.58330000000018,1.0,11.787849999999962,0.60595%,74.88540%,0.60595%,7.14286%
2020-45 & 2020-46,hx17de469300d89a6c725084947f753589ca621e87,142294.09049999996,14,1,3214.0501,15618.211599999999,9685.0455,10163.863607142854,2.25874%,10.97601%,6.80636%,7.14286%
2020-45 & 2020-46,hx4b03d97b91bc4d13d271ee97c8571141baca6cd0,508813.9186,14,1,1234.0205,147255.5638,2891.10085,36343.85132857143,0.24253%,28.94095%,0.56820%,7.14286%
2020-45 & 2020-46,hx1f8527706896d332d6c8437dff1c51590c72efa7,25655.899999999998,14,1,601.8645,4000.678,2000.0,1832.5642857142855,2.34591%,15.59360%,7.79548%,7.14286%
2020-45 & 2020-46,hxce773241e990107283650688785b259ce7afc91a,131463.4358,14,1,1463.4358000000002,10000.0,10000.0,9390.245414285715,1.11319%,7.60668%,7.60668%,7.14286%
2020-45 & 2020-46,hxc884dc0d06b9ede780f563eef6f0a788e831489e,388251.3194171802,14,1,743.4886,58212.42396646526,30506.562063216545,27732.237101227158,0.19150%,14.99349%,7.85743%,7.14286%
2020-45 & 2020-46,hx099f80b0911a8d44d21053743334334dadb153ce,18953.8397,14,1,189.7166,5144.7111,572.5763,1353.845692857143,1.00094%,27.14337%,3.02090%,7.14286%
2020-45 & 2020-46,hxb163cdee7a21a16177b9a1b150fc66717320a934,106498.0,14,1,4442.0,20006.0,6320.26585,7607.0,4.17097%,18.78533%,5.93463%,7.14286%
2020-45 & 2020-46,hx461eb340a1aca911fb8a85d0401a5c3b84345aae,691.0090999999999,14,1,6.9513,63.9512,55.3204,49.35779285714285,1.00596%,9.25476%,8.00574%,7.14286%
