biweek,delegator,sum_votes,how_many_prep_voted,raffle_tickets,total_votes,total_votes,total_votes,total_votes,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep
,,,,,min,max,median,mean,min,max,median,mean
2020-45 & 2020-46,hx331d28957167dcc3ccd8d7eaa5895667ad3eeca6,2740.4543,11,1,150.0,300.00000000000006,270.0,249.13220909090907,5.47355%,10.94709%,9.85238%,9.09091%
2020-45 & 2020-46,hx185ca47b08d33c88b7a6c7b35be34d38fd9de92c,27300.749600000003,11,1,244.3634,20209.745300000002,739.5930000000001,2481.8863272727276,0.89508%,74.02634%,2.70906%,9.09091%
2020-45 & 2020-46,hx337d62d8d2a433f24f6f1688648aed101ba9f686,41074.91449999999,11,1,371.28089999999975,32473.0874,822.9362999999998,3734.0831363636357,0.90391%,79.05820%,2.00350%,9.09091%
2020-45 & 2020-46,hx3473e85103295a49c87b278f15cb0c3e3a4284e4,37162.5117,11,1,2536.3224,4459.5014,3372.7321,3378.4101545454546,6.82495%,12.00000%,9.07563%,9.09091%
2020-45 & 2020-46,hxb514c5637dbd9165de40a721ade00de662fd9a22,121825.40369999998,11,1,1267.1696,24179.0978,10597.5373,11075.036699999999,1.04015%,19.84734%,8.69896%,9.09091%
2020-45 & 2020-46,hxcdaf4c545aa2d05e0a28f5ceb94ac8da1ac2f968,344618.80389999994,11,1,30309.2949,41525.8539,30309.295,31328.98217272727,8.79502%,12.04979%,8.79502%,9.09091%
2020-45 & 2020-46,hx4b3aec7d9d401557939d392e03721025eee2a6a7,126240.9128,11,1,576.5625,13034.034199999998,12552.382700000002,11476.446618181819,0.45672%,10.32473%,9.94320%,9.09091%
2020-45 & 2020-46,hx4d8a23c7c6914c0f9a9efaa8571effdb7f8dfc78,3696.5018,11,1,147.8601,443.5802,369.6502,336.04561818181816,4.00000%,12.00000%,10.00000%,9.09091%
2020-45 & 2020-46,hxdc41cf082fa82c11a82b5a94f3db2abb9333b491,791.1915,11,1,15.192,98.749,98.7489,71.9265,1.92014%,12.48105%,12.48104%,9.09091%
2020-45 & 2020-46,hxdc8c68c62b0af5cbd78e2e718d09d1d804e22cb6,37713.61499999999,11,1,2753.4901,5180.5317000000005,3276.5573,3428.5104545454537,7.30105%,13.73650%,8.68800%,9.09091%
2020-45 & 2020-46,hx62471b4843bea5f543c9895220b8ba99e1c24846,17930.438643940288,11,1,186.43078235763045,4955.176130339622,770.2572131720035,1630.0398767218444,1.03974%,27.63555%,4.29581%,9.09091%
2020-45 & 2020-46,hx642ab198ea3710f4215b5dc9d96c8f1f788114da,7672.283899999999,11,1,167.6893,1401.0313,692.465,697.4803545454545,2.18565%,18.26094%,9.02554%,9.09091%
2020-45 & 2020-46,hxdd6b499ebf126dd89f89f32179cd879fee310eda,7122.8559995045425,11,1,131.6232945695421,2549.2980349201353,432.1610221959618,647.532363591322,1.84790%,35.79039%,6.06724%,9.09091%
2020-45 & 2020-46,hx644f54f6de6e3b7fc6b7d77e82a57c2273bc0e4d,1257.5972,11,1,6.4748,135.90439999999998,122.4123,114.32701818181818,0.51485%,10.80667%,9.73382%,9.09091%
2020-45 & 2020-46,hx64e2ed14e6356f8c8385a1335bf301746ef5858a,18712.8209,11,1,542.8247,2000.6913,1803.5532999999998,1701.1655363636362,2.90082%,10.69155%,9.63806%,9.09091%
2020-45 & 2020-46,hxa3bbbb9a6feaa0a6cc52d22ae6ced2c4ce2c0fef,540.0698,11,1,16.2021,135.0175,43.2056,49.09725454545455,3.00000%,25.00001%,8.00000%,9.09091%
2020-45 & 2020-46,hxe274e9b3202dc7548e068e57e040047e2b69e041,3326.1937,11,1,156.19369999999998,400.0,300.0,302.3812454545454,4.69587%,12.02576%,9.01932%,9.09091%
2020-45 & 2020-46,hxe27f20d3e28a347f3c4a64067b0e27900027f4fe,1611.1311999999998,11,1,16.7434,328.8121,97.7041,146.4664727272727,1.03923%,20.40877%,6.06432%,9.09091%
2020-45 & 2020-46,hx6d1285116376e3d554eedeacceffe92bd41d911e,70524.1455,11,1,2859.0763,9017.9008,7982.245999999999,6411.285954545455,4.05404%,12.78697%,11.31846%,9.09091%
2020-45 & 2020-46,hxe435f4d411b38115de401ab748d78aefb901fd8b,21464.7652,11,1,624.1643999999999,4587.0544,1375.3393,1951.3422909090912,2.90786%,21.37016%,6.40743%,9.09091%
2020-45 & 2020-46,hx9e42d3a0d46a37e52dbcc20fc9080307336750ba,763.1501,11,1,38.4592,94.3819,70.765,69.37728181818181,5.03953%,12.36741%,9.27275%,9.09091%
2020-45 & 2020-46,hx6d6adbb8dccbbae2c98b9710fc4c2d1caea65dbb,9649.988399999998,11,1,288.4691,2548.4927000000002,759.1709,877.2716727272726,2.98932%,26.40928%,7.86707%,9.09091%
2020-45 & 2020-46,hxe6e6004acb4997c5897ceb0dc42f0cdd95c95737,350.0,11,1,10.0,110.0,10.0,31.818181818181817,2.85714%,31.42857%,2.85714%,9.09091%
2020-45 & 2020-46,hx2484cb6672d2b17b235788f15ec3192e9c9eef4c,6139.8357,11,1,1.0,1198.9526,416.00479999999993,558.1668818181818,0.01629%,19.52744%,6.77550%,9.09091%
2020-45 & 2020-46,hxcde089e8e6016abf80d51b2161eb658c677829d7,104674.66540000001,11,1,1636.721399999999,14936.216799999998,10087.9512,9515.878672727275,1.56363%,14.26918%,9.63743%,9.09091%
2020-45 & 2020-46,hx4f726993a6cfabc87b3efc2949dac6fad761fca5,12198.2892,11,1,189.4522,2213.341,1244.3568,1108.9353818181817,1.55310%,18.14468%,10.20108%,9.09091%
2020-45 & 2020-46,hxcf094241cb2b58001ca4a14351ef5e073986d4a0,3954.7672,11,1,40.3424,700.2095,561.4985,359.5242909090909,1.02010%,17.70545%,14.19802%,9.09091%
2020-45 & 2020-46,hxd2a0fa9a289731cae6d0a8e8a332681ef8b2ae56,8744.4798,11,1,56.9858,2316.3183,758.4960999999998,794.952709090909,0.65168%,26.48892%,8.67400%,9.09091%
2020-45 & 2020-46,hxaeb409bb3195c29fc5ebcf21942db679a9081598,817.6858,11,1,10.1681,334.6074,47.6714,74.33507272727273,1.24352%,40.92127%,5.83004%,9.09091%
2020-45 & 2020-46,hxd5629fb8fe7a0aeb703abb336002b09461f1341d,94826.1725,11,1,4773.9697,21287.781,6365.2929,8620.561136363636,5.03444%,22.44927%,6.71259%,9.09091%
2020-45 & 2020-46,hxd59135c8d2288aef36ed9b5e33c03260cf6decda,31277.9071,11,1,1940.5435000000002,3943.6456000000003,3113.0496,2843.4461,6.20420%,12.60841%,9.95287%,9.09091%
2020-45 & 2020-46,hx573ad8113e5687a448151261b3e256a48d9590cb,117627.768,11,1,10000.0,15000.0,10248.8556,10693.433454545455,8.50139%,12.75209%,8.71296%,9.09091%
2020-45 & 2020-46,hxa816475001458977137ca1ca9bb26cd4fc5e0aaf,16216.1389,11,1,1200.0,2000.0000000000002,1500.0,1474.1944454545455,7.40004%,12.33339%,9.25004%,9.09091%
2020-45 & 2020-46,hxd7c28d23e0a66e30e51f50ff7572ed60c4259cc1,6774.154215622227,11,1,207.3771222581235,785.9856632827535,637.1563566848517,615.8322014202024,3.06130%,11.60271%,9.40570%,9.09091%
2020-45 & 2020-46,hx5beebdab5f27090b3e44465abf17c11ab894f8ce,5524.3925,11,1,238.2631,568.54,524.2876,502.2175,4.31293%,10.29145%,9.49041%,9.09091%
2020-45 & 2020-46,hxda2f396c8f1a50df62b23c1c3d88342ce6939140,7635.4617,11,1,70.1436,2665.4535,350.7176,694.1328818181818,0.91866%,34.90887%,4.59327%,9.09091%
2020-45 & 2020-46,hx17b78b80bfcb4915fcac90f87e96cfa5bd59b452,26382.705299999998,11,1,18.1627,6584.039199999999,1462.5024999999998,2398.4277545454543,0.06884%,24.95589%,5.54341%,9.09091%
2020-45 & 2020-46,hxfe43e4d0782cc62ff4e9714771ae94d743e27234,11366.5807,11,1,434.6412,1763.7466,1034.5403,1033.3255181818183,3.82385%,15.51695%,9.10160%,9.09091%
