validator,validator_name,date,votes
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-12-16,306811.1291850249
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-12-17,118048.04330053838
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-12-18,49143.9453328066
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-12-19,95944.0300455794
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-12-20,301939.6047523239
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-12-21,69688.62467332924
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-12-22,122938.3903612958
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-12-23,71518.18301579768
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-12-24,90208.38007560321
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-12-25,82197.91885054021
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-12-26,93559.2739678096
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-12-27,328592.2016342781
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-12-28,14686.50865164289
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-12-29,47417.74090241484
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-12-30,83062.86415825009
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2019-12-31,338722.27752556565
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-01-01,41265.51241906073
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-01-02,228432.95781480608
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-01-03,63012.646894711776
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-01-04,359761.5982011387
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-01-05,179533.19799074013
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-01-06,-212509.37375662668
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-01-07,-23844.31436045331
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-01-08,159609.66422746892
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-01-09,165897.9339180832
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-01-10,102296.09236750442
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-01-11,29543.66776018197
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-01-12,95659.83262904893
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-01-13,34401.97769415649
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-01-14,-129679.14857362032
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-01-15,47967.33391016794
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-01-16,122076.4886308852
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-01-17,1111.1687258062996
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-01-18,91743.31885494528
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-01-19,188907.69994005244
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-01-20,142098.17368321383
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-01-21,327461.56383878906
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-01-22,-24048.221624493635
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-01-23,64926.21158296744
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-01-24,141742.70367450526
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-01-25,71260.09281332952
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-01-26,-133098.6896732038
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-01-27,466357.03303145245
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-01-28,126457.8754873157
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-01-29,150865.66070127572
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-01-30,602118.5170365163
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-01-31,-624780.4450024313
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-02-01,-174184.05356025623
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-02-02,566527.7675888257
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-02-03,290990.33273773803
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-02-04,971851.1553447773
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-02-05,87909.93950469373
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-02-06,173686.09607405422
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,2020-02-07,317062.1770302135
