address,name,country,city,logo
hx704cf476389a2e3ab13ca33eeea9480ee172cf60,ICON Russia,RUS,Saint-Petersburg,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON Russia.jpg
hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,ICON Spark,USA,ICON,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON Spark.png
hx1cb5883939f2fd478e92da1260438aa1f03440ca,ICON Sweden,SWE,Stockholm,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON Sweden.png
hx1be230522449d87274fa8f326fed22e3cacfe4c0,ICON Thailand,THA,Phuket,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON Thailand.jpg
hxbf0f9646b09b0e0943ed768795c0d6c32a758d35,ICON USA,USA,Brooklyn,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON USA.jpg
hxff6437443e7ed76d2d7f97f0d28d7ae1071bd0bb,Icon-4-Business,USA,Chattanooga,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/Icon-4-Business.png
hx11434d1fce3edecf0e84a9c992a712f0cebf6992,icon-node-NL,NLD,Dronten,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/icon-node-NL.png
hx9121c5914ce34f59de52fe15efd6f7982c2ab8ae,ICON-NYC,USA,New York City,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON-NYC.jpg
hxd00b8fe10deb49aa291a9b2cb460779fc622fa12,ICON4Education,USA,San Francisco,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICON4Education.png
hx262afdeda4eba10fe41fa5ef21796ac2bdcc6629,ICONation,FRA,Paris,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICONation.png
hxb11448743cbb63fcf29609401cdc5782793be211,ICONbet Community,USA,Las Vegas,https://raw.githubusercontent.com/Transcranial-Solutions/ICONProject/master/vote_analysis/output/logos/ICONbet Community.png
